機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核一#2,636.0,0.0,0.000%,歲修逾排程
核二#1,985.0,933.0,94.721%, 
核二#2,985.0,911.6,92.548%, 
核三#1,951.0,933.5,98.160%, 
核三#2,951.0,939.2,98.759%, 
小計,4508.0(9.805%),3717.3(10.313%),,
燃煤(Coal)
林口#1,800.0,751.6,93.950%, 
林口#2,800.0,758.4,94.800%, 
林口#3(註10),-,0.0,0.000%, 
台中#1,550.0,0.0,0.000%,環保工程
台中#2,550.0,527.2,95.855%, 
台中#3,550.0,497.0,90.364%,運轉限制
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,520.8,94.691%, 
台中#6,550.0,507.2,92.218%,運轉限制
台中#7,550.0,516.8,93.964%, 
台中#8,550.0,482.0,87.636%,運轉限制
台中#9,550.0,490.7,89.218%,運轉限制
台中#10,550.0,498.5,90.636%,運轉限制
興達#1,500.0,471.4,94.280%, 
興達#2,500.0,477.8,95.560%, 
興達#3,550.0,512.9,93.255%, 
興達#4,550.0,520.2,94.582%, 
大林#1,800.0,757.9,94.738%, 
大林#2(註10),-,764.9,95.613%,新機組試俥
小計,10000.0(21.751%),9055.3(25.122%),,
汽電共生(Co-Gen)
汽電共生,623.2,1409.1,-, 
小計,623.2(1.355%),1409.1(3.909%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,0.0,0.000%,故障
和平#2,648.6,602.0,92.822%, 
麥寮#1,600.0,566.9,94.483%, 
麥寮#2,600.0,567.3,94.550%, 
麥寮#3,600.0,573.4,95.567%, 
小計,3097.1(6.736%),2309.6(6.408%),,
燃氣(LNG)
大潭CC#1,742.7,484.6,65.248%,部分檢修
大潭CC#2,742.7,748.6,100.794%, 
大潭CC#3,724.7,654.9,90.368%, 
大潭CC#4,724.7,657.7,90.755%, 
大潭CC#5,724.7,614.8,84.835%, 
大潭CC#6,724.7,625.4,86.298%, 
大潭CC#7,600.0,566.9,94.483%, 
通霄CC#1,892.6,845.4,94.712%, 
通霄CC#2,892.6,407.2,45.620%,電源線限制
通霄CC#3(註10),-,684.3,76.664%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,126.1,32.668%,電源線限制
通霄CC#6,321.2,151.1,47.042%,部分檢修
興達CC#1,445.2,406.4,91.287%, 
興達CC#2,445.2,404.9,90.950%, 
興達CC#3,445.2,269.7,60.581%,部分檢修
興達CC#4,445.2,390.5,87.715%, 
興達CC#5,445.2,399.0,89.625%, 
南部CC#1,288.8,298.8,103.463%, 
南部CC#2,288.8,299.3,103.636%, 
南部CC#3,288.8,292.4,101.247%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,396.3,79.260%,運轉限制
大林#6,550.0,512.2,93.127%,運轉限制
小計,12256.4(26.658%),10236.5(28.399%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,448.1,99.578%, 
海湖#2,450.0,449.0,99.778%, 
新桃#1,600.0,643.4,107.233%, 
國光#1,480.0,452.2,94.208%, 
星彰#1,490.0,491.1,100.224%, 
星元#1,490.0,514.9,105.082%, 
嘉惠#1,670.0,683.5,102.015%, 
豐德#1,490.0,473.8,96.694%, 
豐德#2,490.0,460.9,94.061%, 
小計,4610.0(10.027%),4616.9(12.809%),,
燃油(Oil)
協和#1,500.0,178.7,35.740%,環保限制
協和#2,500.0,396.2,79.240%,環保限制
協和#3,500.0,333.4,66.680%,環保限制
協和#4,500.0,268.0,53.600%,環保限制
小計,2000.0(4.350%),1176.3(3.263%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,70.5,54.314%, 
金門塔山(註4),91.0,49.4,54.286%, 
馬祖珠山(註4),28.6,9.2,32.123%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.244%),129.1(0.358%),,
水力(Hydro)
德基#1,78.0,67.4,86.410%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,23.3,25.326%, 
青山#2,92.0,23.3,25.326%, 
青山#3,92.0,23.0,25.000%, 
青山#4,92.0,23.1,25.109%, 
谷關#1,54.4,47.7,87.603%, 
谷關#2,54.4,48.2,88.522%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,0.0,0.000%, 
天輪#1,22.5,22.5,100.000%, 
天輪#2,22.5,22.0,97.778%, 
天輪#3,22.5,22.3,99.111%, 
天輪#4,22.5,22.2,98.667%, 
天輪#5,105.0,0.0,0.000%,檢修
馬鞍#1,66.7,57.1,85.556%, 
馬鞍#2,66.7,11.3,16.931%, 
卓蘭#1,40.0,30.5,76.250%, 
卓蘭#2,40.0,25.5,63.750%, 
萬大#1,10.4,9.0,86.957%, 
萬大#2,10.4,9.2,88.889%, 
萬大#3,15.3,14.0,91.503%, 
萬大#4,19.7,0.0,0.000%, 
松林#1&amp;2,20.9,9.7,46.411%, 
大觀一#1,22.0,13.6,61.818%, 
大觀一#2,22.0,14.3,65.000%, 
大觀一#3,22.0,14.8,67.273%, 
大觀一#4,22.0,13.4,60.909%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,10.1,46.437%, 
鉅工#2,21.8,10.3,47.356%, 
水里#1,12.8,5.7,44.706%, 
立霧#1&amp;#2,32.0,15.4,48.125%, 
龍澗#1,48.6,29.4,60.494%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,28.2,46.078%, 
烏來&amp;桂山&amp;粗坑,40.5,19.6,48.395%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,37.0,67.766%, 
翡翠#1,70.0,71.2,101.714%, 
石門#1,45.0,30.8,68.444%, 
石門#2,45.0,25.6,56.889%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,37.8,94.500%, 
名間,16.7,10.0,59.880%, 
嘉南西口、烏山頭和八田,22.5,0.0,0.000%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.1,55.556%, 
小計,2091.5(4.549%),925.6(2.568%),,
風力(Wind)
