機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,714.5,72.538%,測試運轉 
核二#2,985.0,975.9,99.076%, 
核三#1,951.0,943.8,99.243%, 
核三#2,951.0,941.5,99.001%, 
小計,3872.0(8.540%),3575.7(13.396%),,
燃煤(Coal)
林口#1,800.0,751.6,93.950%, 
林口#2,800.0,758.5,94.812%, 
林口#3(註10),-,680.6,85.075%,新機組試俥
台中#1,550.0,520.0,94.545%, 
台中#2,550.0,521.5,94.818%, 
台中#3,550.0,0.0,0.000%,檢修
台中#4,550.0,0.0,0.000%,歲修
台中#5,550.0,521.2,94.764%, 
台中#6,550.0,515.5,93.727%, 
台中#7,550.0,496.3,90.236%,運轉限制
台中#8,550.0,534.4,97.164%, 
台中#9,550.0,493.3,89.691%,運轉限制
台中#10,550.0,520.7,94.673%, 
興達#1,500.0,474.6,94.920%, 
興達#2,500.0,477.1,95.420%, 
興達#3,550.0,480.6,87.382%, 
興達#4,550.0,516.3,93.873%, 
大林#1,800.0,757.0,94.625%, 
大林#2(註10),-,767.1,95.887%,新機組試俥
小計,10000.0(22.056%),9786.3(36.664%),,
汽電共生(Co-Gen)
汽電共生,623.2,500.4,-, 
小計,623.2(1.374%),500.4(1.875%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,603.5,93.054%, 
和平#2,648.6,606.5,93.516%, 
麥寮#1,600.0,568.1,94.683%, 
麥寮#2,600.0,568.6,94.767%, 
麥寮#3,600.0,569.3,94.883%, 
小計,3097.1(6.831%),2916.0(10.925%),,
燃氣(LNG)
大潭CC#1,742.7,657.7,88.555%, 
大潭CC#2,742.7,654.8,88.165%, 
大潭CC#3,724.7,657.1,90.672%, 
大潭CC#4,724.7,669.4,92.369%, 
大潭CC#5,724.7,639.7,88.271%, 
大潭CC#6,724.7,658.2,90.824%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,0.0,0.000%,歲修
通霄CC#2,892.6,820.8,91.956%, 
通霄CC#3(註10),-,410.3,45.967%,新機組試俥
通霄CC#4,386.0,234.9,60.855%,部分檢修
通霄CC#5,386.0,0.0,0.000%,檢修
通霄CC#6,321.2,100.3,31.227%,部分檢修
興達CC#1,445.2,325.6,73.137%, 
興達CC#2,445.2,404.6,90.883%, 
興達CC#3,445.2,328.3,73.744%, 
興達CC#4,445.2,218.0,48.968%,部分檢修
興達CC#5,445.2,323.5,72.666%, 
南部CC#1,288.8,279.3,96.711%, 
南部CC#2,288.8,232.1,80.367%, 
南部CC#3,288.8,232.6,80.540%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,140.3,28.060%,運轉限制
大林#6,550.0,210.2,38.218%, 
小計,12256.4(27.032%),8197.7(30.713%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,0.0,0.000%,檢修
海湖#2,450.0,441.3,98.067%, 
新桃#1,600.0,14.2,2.367%,合約限制
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,0.0,0.000%,合約限制
星元#1,490.0,0.0,0.000%,合約限制
嘉惠#1,670.0,0.0,0.000%,合約限制
豐德#1,490.0,0.0,0.000%,檢修
豐德#2,490.0,0.0,0.000%,合約限制
小計,4610.0(10.168%),455.5(1.707%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,133.5,26.700%,環保限制
協和#4,500.0,128.9,25.780%,環保限制
小計,2000.0(4.411%),262.4(0.983%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,32.1,24.730%, 
金門塔山(註4),91.0,43.6,47.912%, 
馬祖珠山(註4),28.6,7.7,26.885%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),83.4(0.312%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,0.0,0.000%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,0.0,0.000%, 
青山#4,92.0,0.0,0.000%, 
谷關#1,54.4,54.5,100.092%, 
谷關#2,54.4,54.5,100.092%, 
谷關#3,54.4,53.3,97.888%, 
谷關#4,54.4,55.3,101.561%, 
天輪#1,22.5,0.0,0.000%,水文限制
天輪#2,22.5,0.0,0.000%,水文限制
天輪#3,22.5,0.0,0.000%,水文限制
天輪#4,22.5,0.0,0.000%,水文限制
天輪#5,105.0,0.0,0.000%,水文限制
馬鞍#1,66.7,0.0,0.000%,水文限制
馬鞍#2,66.7,0.0,0.000%,水文限制
卓蘭#1,40.0,0.0,0.000%,水文限制
卓蘭#2,40.0,0.0,0.000%,水文限制
萬大#1,10.4,0.0,0.000%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,0.0,0.000%, 
萬大#4,19.7,0.0,0.000%, 
松林#1&amp;2,20.9,0.0,0.000%, 
大觀一#1,22.0,17.6,80.000%, 
大觀一#2,22.0,18.9,85.909%, 
大觀一#3,22.0,19.1,86.818%, 
大觀一#4,22.0,18.6,84.545%, 
大觀一#5,22.0,18.3,83.182%, 
鉅工#1,21.8,14.2,65.287%, 
鉅工#2,21.8,14.9,68.506%, 
水里#1,12.8,7.1,55.686%, 
立霧#1&amp;#2,32.0,29.4,91.875%, 
龍澗#1,48.6,48.7,100.206%, 
龍澗#2,48.6,49.0,100.823%, 
碧海,61.2,50.3,82.190%, 
烏來&amp;桂山&amp;粗坑,40.5,3.2,7.901%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,28.0,51.282%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,26.2,58.222%, 
石門#2,45.0,32.9,73.111%, 
曾文#1,50.0,49.9,99.800%, 
義興#1,40.0,0.0,0.000%,水文限制
名間,16.7,13.5,80.838%, 
嘉南西口、烏山頭和八田,22.5,6.8,30.268%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,0.0,0.000%, 
小計,2091.5(4.613%),722.2(2.706%),,
風力(Wind)
石門,4.0,1.3,32.828%, 
