機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,967.9,98.264%, 
核二#2,985.0,971.9,98.670%, 
核三#1,951.0,942.6,99.117%, 
核三#2,951.0,943.8,99.243%, 
小計,3872.0(8.540%),3826.2(12.856%),,
燃煤(Coal)
林口#1,800.0,747.2,93.400%, 
林口#2,800.0,751.1,93.887%, 
林口#3(註10),-,762.7,95.338%,新機組試俥
台中#1,550.0,0.0,0.000%,檢修
台中#2,550.0,516.9,93.982%, 
台中#3,550.0,502.0,91.273%,運轉限制
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,515.2,93.673%, 
台中#6,550.0,512.2,93.127%, 
台中#7,550.0,496.5,90.273%,運轉限制
台中#8,550.0,528.8,96.145%, 
台中#9,550.0,496.6,90.291%,運轉限制
台中#10,550.0,501.3,91.145%,運轉限制
興達#1,500.0,482.2,96.440%, 
興達#2,500.0,435.3,87.060%,運轉限制
興達#3,550.0,379.0,68.909%,運轉限制
興達#4,550.0,517.1,94.018%, 
大林#1,800.0,758.6,94.825%, 
大林#2(註10),-,761.0,95.125%,新機組試俥
小計,10000.0(22.056%),9663.7(32.469%),,
汽電共生(Co-Gen)
汽電共生,623.2,703.5,-, 
小計,623.2(1.374%),703.5(2.364%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,600.2,92.545%, 
和平#2,648.6,602.4,92.884%, 
麥寮#1,600.0,567.0,94.500%, 
麥寮#2,600.0,566.3,94.383%, 
麥寮#3,600.0,570.4,95.067%, 
小計,3097.1(6.831%),2906.3(9.765%),,
燃氣(LNG)
大潭CC#1,742.7,488.5,65.774%,部分檢修
大潭CC#2,742.7,713.9,96.122%, 
大潭CC#3,724.7,302.7,41.769%,部分檢修
大潭CC#4,724.7,670.3,92.493%, 
大潭CC#5,724.7,604.9,83.469%, 
大潭CC#6,724.7,372.3,51.373%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,707.7,79.285%, 
通霄CC#2,892.6,397.1,44.488%,電源線限制
通霄CC#3(註10),-,713.1,79.890%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,224.6,58.187%,電源線限制
通霄CC#6,321.2,115.6,35.990%,部分檢修
興達CC#1,445.2,334.0,75.024%, 
興達CC#2,445.2,397.7,89.333%, 
興達CC#3,445.2,330.8,74.305%, 
興達CC#4,445.2,390.0,87.603%, 
興達CC#5,445.2,369.8,83.066%, 
南部CC#1,288.8,274.9,95.187%, 
南部CC#2,288.8,231.8,80.263%, 
南部CC#3,288.8,232.5,80.506%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,140.9,28.180%,運轉限制
大林#6,550.0,165.5,30.091%, 
小計,12256.4(27.032%),8178.6(27.479%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,415.7,92.378%, 
海湖#2,450.0,0.0,0.000%,檢修
新桃#1,600.0,535.0,89.167%, 
國光#1,480.0,0.0,0.000%,檢修
星彰#1,490.0,0.0,0.000%,合約限制
星元#1,490.0,0.0,0.000%,合約限制
嘉惠#1,670.0,552.7,82.493%, 
豐德#1,490.0,509.9,104.061%, 
豐德#2,490.0,0.0,0.000%,檢修
小計,4610.0(10.168%),2013.3(6.764%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,135.4,27.080%,環保限制
協和#4,500.0,129.5,25.900%,環保限制
小計,2000.0(4.411%),264.9(0.890%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,60.2,46.379%, 
金門塔山(註4),91.0,46.3,50.879%, 
馬祖珠山(註4),28.6,10.1,35.265%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),116.6(0.392%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,8.1,8.804%, 
青山#2,92.0,8.1,8.804%, 
青山#3,92.0,0.0,0.000%, 
青山#4,92.0,0.0,0.000%, 
谷關#1,54.4,0.0,0.000%, 
谷關#2,54.4,33.2,60.973%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,32.6,59.871%, 
天輪#1,22.5,5.1,22.777%, 
天輪#2,22.5,19.6,87.111%, 
天輪#3,22.5,19.7,87.556%, 
天輪#4,22.5,19.8,88.000%, 
天輪#5,105.0,0.0,0.000%, 
馬鞍#1,66.7,51.8,77.615%, 
馬鞍#2,66.7,0.0,0.000%, 
卓蘭#1,40.0,25.3,63.250%, 
卓蘭#2,40.0,25.2,63.000%, 
萬大#1,10.4,0.0,0.000%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,4.9,32.026%, 
萬大#4,19.7,20.3,103.046%, 
松林#1&amp;2,20.9,6.4,30.622%, 
大觀一#1,22.0,14.1,64.091%, 
大觀一#2,22.0,14.5,65.909%, 
大觀一#3,22.0,13.4,60.909%, 
大觀一#4,22.0,13.8,62.727%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,7.2,33.103%, 
鉅工#2,21.8,8.2,37.701%, 
水里#1,12.8,6.6,51.765%, 
立霧#1&amp;#2,32.0,14.6,45.625%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,6.0,12.346%, 
碧海,61.2,28.3,46.242%, 
烏來&amp;桂山&amp;粗坑,40.5,15.4,38.025%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,30.0,54.945%, 
翡翠#1,70.0,31.1,44.429%, 
石門#1,45.0,0.0,0.000%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,49.7,99.400%, 
義興#1,40.0,19.5,48.750%, 
名間,16.7,12.8,76.647%, 
嘉南西口、烏山頭和八田,22.5,5.1,22.701%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.2,60.606%, 
小計,2091.5(4.613%),595.6(2.001%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
林口,6.0,1.7,28.333%, 
