機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,467.9,47.503%,測試運轉 
核二#2,985.0,971.9,98.670%, 
核三#1,951.0,946.1,99.485%, 
核三#2,951.0,944.9,99.359%, 
小計,3872.0(8.540%),3330.8(10.961%),,
燃煤(Coal)
林口#1,800.0,756.0,94.500%, 
林口#2,800.0,763.3,95.412%, 
林口#3(註10),-,755.3,94.412%,新機組試俥
台中#1,550.0,520.8,94.691%, 
台中#2,550.0,520.7,94.673%, 
台中#3,550.0,0.0,0.000%,檢修
台中#4,550.0,0.0,0.000%,歲修
台中#5,550.0,520.7,94.673%, 
台中#6,550.0,515.1,93.655%, 
台中#7,550.0,498.7,90.673%,運轉限制
台中#8,550.0,530.9,96.527%, 
台中#9,550.0,495.7,90.127%,運轉限制
台中#10,550.0,521.7,94.855%, 
興達#1,500.0,484.7,96.940%, 
興達#2,500.0,483.4,96.680%, 
興達#3,550.0,522.1,94.927%, 
興達#4,550.0,519.4,94.436%, 
大林#1,800.0,757.0,94.625%, 
大林#2(註10),-,761.0,95.125%,新機組試俥
小計,10000.0(22.056%),9926.5(32.666%),,
汽電共生(Co-Gen)
汽電共生,623.2,1192.0,-, 
小計,623.2(1.374%),1192.0(3.923%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,600.5,92.591%, 
和平#2,648.6,602.4,92.884%, 
麥寮#1,600.0,564.3,94.050%, 
麥寮#2,600.0,567.4,94.567%, 
麥寮#3,600.0,572.5,95.417%, 
小計,3097.1(6.831%),2907.1(9.567%),,
燃氣(LNG)
大潭CC#1,742.7,657.9,88.582%, 
大潭CC#2,742.7,664.0,89.404%, 
大潭CC#3,724.7,661.5,91.279%, 
大潭CC#4,724.7,663.1,91.500%, 
大潭CC#5,724.7,640.1,88.326%, 
大潭CC#6,724.7,661.7,91.307%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,0.0,0.000%,歲修
通霄CC#2,892.6,787.6,88.237%, 
通霄CC#3(註10),-,811.1,90.869%,新機組試俥
通霄CC#4,386.0,235.3,60.959%,部分檢修
通霄CC#5,386.0,386.8,100.207%, 
通霄CC#6,321.2,101.8,31.694%,部分檢修
興達CC#1,445.2,240.6,54.044%, 
興達CC#2,445.2,344.5,77.383%, 
興達CC#3,445.2,241.3,54.202%, 
興達CC#4,445.2,105.5,23.698%,部分檢修
興達CC#5,445.2,241.5,54.247%, 
南部CC#1,288.8,275.5,95.395%, 
南部CC#2,288.8,233.3,80.783%, 
南部CC#3,288.8,234.8,81.302%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,139.6,27.920%,運轉限制
大林#6,550.0,164.0,29.818%, 
小計,12256.4(27.032%),8491.5(27.943%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,0.0,0.000%,合約限制
海湖#2,450.0,448.5,99.667%, 
新桃#1,600.0,0.0,0.000%,合約限制
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,0.0,0.000%,合約限制
星元#1,490.0,507.7,103.612%, 
嘉惠#1,670.0,661.8,98.776%, 
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,478.3,97.612%, 
小計,4610.0(10.168%),2096.3(6.898%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,133.5,26.700%,環保限制
協和#4,500.0,127.0,25.400%,環保限制
小計,2000.0(4.411%),260.5(0.857%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,73.2,56.394%, 
金門塔山(註4),91.0,51.8,56.923%, 
馬祖珠山(註4),28.6,10.0,34.916%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),135.0(0.444%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,0.0,0.000%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,0.0,0.000%, 
青山#4,92.0,0.0,0.000%, 
谷關#1,54.4,29.8,54.729%, 
谷關#2,54.4,29.6,54.362%, 
谷關#3,54.4,29.5,54.178%, 
谷關#4,54.4,29.5,54.178%, 
天輪#1,22.5,22.5,100.000%, 
天輪#2,22.5,21.3,94.667%, 
天輪#3,22.5,21.4,95.111%, 
天輪#4,22.5,21.8,96.889%, 
天輪#5,105.0,69.1,65.810%, 
馬鞍#1,66.7,65.7,98.442%, 
馬鞍#2,66.7,63.5,95.145%, 
卓蘭#1,40.0,0.0,0.000%,水文限制
卓蘭#2,40.0,0.0,0.000%,水文限制
萬大#1,10.4,5.0,48.309%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,0.0,0.000%, 
萬大#4,19.7,0.0,0.000%, 
松林#1&amp;2,20.9,2.9,13.876%, 
大觀一#1,22.0,5.9,26.818%, 
大觀一#2,22.0,6.1,27.727%, 
大觀一#3,22.0,5.5,25.000%, 
大觀一#4,22.0,5.9,26.818%, 
大觀一#5,22.0,5.4,24.545%, 
鉅工#1,21.8,6.1,28.046%, 
鉅工#2,21.8,6.7,30.805%, 
水里#1,12.8,4.2,32.941%, 
立霧#1&amp;#2,32.0,15.2,47.500%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,27.4,56.379%, 
碧海,61.2,28.4,46.405%, 
烏來&amp;桂山&amp;粗坑,40.5,2.7,6.667%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,28.0,51.282%, 
翡翠#1,70.0,71.1,101.571%, 
石門#1,45.0,24.8,55.111%, 
石門#2,45.0,31.6,70.222%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,0.0,0.000%,水文限制
名間,16.7,14.7,88.024%, 
嘉南西口、烏山頭和八田,22.5,6.9,30.713%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.4,70.707%, 
小計,2091.5(4.613%),747.6(2.460%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
林口,6.0,1.9,31.667%, 
