機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核一#2,636.0,0.0,0.000%,歲修逾排程
核二#1,985.0,971.9,98.670%, 
核二#2,985.0,975.9,99.076%, 
核三#1,951.0,934.7,98.286%, 
核三#2,951.0,937.0,98.528%, 
小計,4508.0(9.831%),3819.5(13.975%),,
燃煤(Coal)
林口#1,800.0,751.7,93.963%, 
林口#2,800.0,760.3,95.037%, 
林口#3(註10),-,0.0,0.000%, 
台中#1,550.0,519.7,94.491%, 
台中#2,550.0,0.0,0.000%,檢修
台中#3,550.0,0.0,0.000%,測試運轉 
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,525.3,95.509%, 
台中#6,550.0,509.6,92.655%, 
台中#7,550.0,515.5,93.727%, 
台中#8,550.0,520.3,94.600%, 
台中#9,550.0,493.4,89.709%,運轉限制
台中#10,550.0,512.2,93.127%, 
興達#1,500.0,470.2,94.040%, 
興達#2,500.0,479.0,95.800%, 
興達#3,550.0,505.2,91.855%, 
興達#4,550.0,527.1,95.836%, 
大林#1,800.0,759.4,94.925%, 
大林#2(註10),-,763.4,95.425%,新機組試俥
小計,10000.0(21.807%),8612.3(31.512%),,
汽電共生(Co-Gen)
汽電共生,623.2,335.4,-, 
小計,623.2(1.359%),335.4(1.227%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,599.0,92.360%, 
和平#2,648.6,596.1,91.913%, 
麥寮#1,600.0,567.4,94.567%, 
麥寮#2,600.0,566.4,94.400%, 
麥寮#3,600.0,570.6,95.100%, 
小計,3097.1(6.754%),2899.5(10.609%),,
燃氣(LNG)
大潭CC#1,742.7,728.2,98.048%, 
大潭CC#2,742.7,723.8,97.455%, 
大潭CC#3,724.7,234.5,32.358%,測試運轉 
大潭CC#4,724.7,671.6,92.673%, 
大潭CC#5,724.7,627.4,86.574%, 
大潭CC#6,724.7,675.1,93.156%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,820.6,91.934%, 
通霄CC#2,892.6,413.7,46.348%,電源線限制
通霄CC#3(註10),-,677.6,75.913%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,0.0,0.000%,電源線限制
通霄CC#6,321.2,119.4,37.173%,部分檢修
興達CC#1,445.2,333.0,74.800%, 
興達CC#2,445.2,421.6,94.701%, 
興達CC#3,445.2,264.3,59.368%,部分檢修
興達CC#4,445.2,381.0,85.581%, 
興達CC#5,445.2,368.6,82.796%, 
南部CC#1,288.8,139.1,48.165%,部分檢修
南部CC#2,288.8,235.3,81.475%, 
南部CC#3,288.8,237.4,82.202%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,140.3,28.060%,運轉限制
大林#6,550.0,262.6,47.745%,運轉限制
小計,12256.4(26.728%),8475.1(31.010%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,0.0,0.000%,檢修
海湖#2,450.0,0.0,0.000%,合約限制
新桃#1,600.0,601.8,100.300%, 
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,0.0,0.000%,檢修
星元#1,490.0,0.0,0.000%,合約限制
嘉惠#1,670.0,172.3,25.716%, 
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,0.0,0.000%,合約限制
小計,4610.0(10.053%),774.1(2.832%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,132.9,26.580%,環保限制
協和#4,500.0,129.5,25.900%,環保限制
小計,2000.0(4.361%),262.4(0.960%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,59.4,45.763%, 
金門塔山(註4),91.0,41.3,45.385%, 
馬祖珠山(註4),28.6,8.1,28.282%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.248%),108.8(0.398%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,13.8,15.000%, 
青山#2,92.0,19.1,20.761%, 
青山#3,92.0,13.6,14.783%, 
青山#4,92.0,0.0,0.000%, 
谷關#1,54.4,0.0,0.000%, 
谷關#2,54.4,0.0,0.000%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,29.4,53.994%, 
天輪#1,22.5,11.0,48.889%, 
天輪#2,22.5,0.0,0.000%, 
天輪#3,22.5,10.5,46.667%, 
天輪#4,22.5,10.8,48.000%, 
天輪#5,105.0,0.0,0.000%, 
馬鞍#1,66.7,13.7,20.527%, 
馬鞍#2,66.7,14.2,21.277%, 
卓蘭#1,40.0,36.6,91.500%, 
卓蘭#2,40.0,36.1,90.250%, 
萬大#1,10.4,5.0,48.309%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,0.0,0.000%, 
萬大#4,19.7,0.0,0.000%, 
松林#1&amp;2,20.9,0.0,0.000%, 
大觀一#1,22.0,5.0,22.727%, 
大觀一#2,22.0,9.8,44.545%, 
大觀一#3,22.0,8.9,40.455%, 
大觀一#4,22.0,8.7,39.545%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,9.9,45.517%, 
鉅工#2,21.8,10.9,50.115%, 
水里#1,12.8,2.1,16.471%, 
立霧#1&amp;#2,32.0,15.3,47.813%, 
龍澗#1,48.6,14.9,30.658%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,17.8,29.085%, 
烏來&amp;桂山&amp;粗坑,40.5,20.5,50.617%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,48.0,87.912%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,25.2,56.000%, 
石門#2,45.0,29.4,65.333%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,38.2,95.500%, 
名間,16.7,13.7,82.036%, 
嘉南西口、烏山頭和八田,22.5,0.0,0.000%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.2,60.606%, 
小計,2091.5(4.561%),525.3(1.922%),,
風力(Wind)
