機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,973.2,98.802%, 
核二#2,985.0,975.9,99.076%, 
核三#1,951.0,941.5,99.001%, 
核三#2,951.0,940.4,98.885%, 
小計,3872.0(8.540%),3831.0(10.815%),,
燃煤(Coal)
林口#1,800.0,751.6,93.950%, 
林口#2,800.0,759.1,94.887%, 
林口#3(註10),-,755.5,94.438%,新機組試俥
台中#1,550.0,519.2,94.400%, 
台中#2,550.0,519.0,94.364%, 
台中#3,550.0,505.4,91.891%,運轉限制
台中#4,550.0,0.0,0.000%,歲修
台中#5,550.0,520.3,94.600%, 
台中#6,550.0,513.2,93.309%, 
台中#7,550.0,495.7,90.127%,運轉限制
台中#8,550.0,530.7,96.491%, 
台中#9,550.0,495.1,90.018%,運轉限制
台中#10,550.0,527.6,95.927%, 
興達#1,500.0,480.3,96.060%, 
興達#2,500.0,482.2,96.440%, 
興達#3,550.0,515.2,93.673%,運轉限制
興達#4,550.0,521.7,94.855%, 
大林#1,800.0,755.5,94.438%, 
大林#2(註10),-,718.5,89.812%,新機組試俥
小計,10000.0(22.056%),10365.8(29.263%),,
汽電共生(Co-Gen)
汽電共生,623.2,1363.1,-, 
小計,623.2(1.374%),1363.1(3.848%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,596.7,92.005%, 
和平#2,648.6,595.9,91.882%, 
麥寮#1,600.0,567.8,94.633%, 
麥寮#2,600.0,567.2,94.533%, 
麥寮#3,600.0,572.9,95.483%, 
小計,3097.1(6.831%),2900.5(8.188%),,
燃氣(LNG)
大潭CC#1,742.7,717.9,96.661%, 
大潭CC#2,742.7,709.2,95.489%, 
大潭CC#3,724.7,651.3,89.872%, 
大潭CC#4,724.7,664.6,91.707%, 
大潭CC#5,724.7,628.3,86.698%, 
大潭CC#6,724.7,657.4,90.713%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,0.0,0.000%,歲修
通霄CC#2,892.6,387.2,43.379%,部分檢修
通霄CC#3(註10),-,790.8,88.595%,新機組試俥
通霄CC#4,386.0,203.4,52.694%,部分檢修
通霄CC#5,386.0,348.0,90.155%, 
通霄CC#6,321.2,148.8,46.326%,部分檢修
興達CC#1,445.2,325.8,73.182%, 
興達CC#2,445.2,402.8,90.478%, 
興達CC#3,445.2,325.2,73.047%, 
興達CC#4,445.2,227.7,51.147%,部分檢修
興達CC#5,445.2,324.7,72.935%, 
南部CC#1,288.8,257.9,89.301%, 
南部CC#2,288.8,195.7,67.763%, 
南部CC#3,288.8,232.5,80.506%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,142.2,28.440%,運轉限制
大林#6,550.0,317.3,57.691%, 
小計,12256.4(27.032%),8658.7(24.443%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,448.2,99.600%, 
海湖#2,450.0,449.1,99.800%, 
新桃#1,600.0,598.0,99.667%, 
國光#1,480.0,455.9,94.979%, 
星彰#1,490.0,487.0,99.388%, 
星元#1,490.0,499.3,101.898%, 
嘉惠#1,670.0,664.5,99.179%, 
豐德#1,490.0,470.8,96.082%, 
豐德#2,490.0,460.6,94.000%, 
小計,4610.0(10.168%),4533.4(12.798%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,138.6,27.720%,環保限制
協和#4,500.0,128.9,25.780%,環保限制
小計,2000.0(4.411%),267.5(0.755%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,62.3,47.997%, 
金門塔山(註4),91.0,48.7,53.516%, 
馬祖珠山(註4),28.6,10.3,35.964%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),121.3(0.342%),,
水力(Hydro)
德基#1,78.0,41.5,53.205%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,30.2,38.718%, 
青山#1,92.0,45.0,48.913%, 
青山#2,92.0,44.9,48.804%, 
青山#3,92.0,45.4,49.348%, 
青山#4,92.0,44.7,48.587%, 
谷關#1,54.4,24.5,44.995%, 
谷關#2,54.4,24.8,45.546%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,24.7,45.363%, 
天輪#1,22.5,19.6,87.111%, 
天輪#2,22.5,19.8,88.000%, 
天輪#3,22.5,20.0,88.889%, 
天輪#4,22.5,0.0,0.000%, 
天輪#5,105.0,14.5,13.810%, 
馬鞍#1,66.7,18.9,28.319%, 
馬鞍#2,66.7,39.9,59.784%, 
卓蘭#1,40.0,0.0,0.000%, 
卓蘭#2,40.0,17.6,44.000%, 
萬大#1,10.4,9.0,86.957%, 
萬大#2,10.4,9.0,86.957%, 
萬大#3,15.3,10.5,68.627%, 
萬大#4,19.7,0.0,0.000%, 
松林#1&amp;2,20.9,8.8,42.105%, 
大觀一#1,22.0,9.3,42.273%, 
大觀一#2,22.0,7.9,35.909%, 
大觀一#3,22.0,7.2,32.727%, 
大觀一#4,22.0,6.3,28.636%, 
大觀一#5,22.0,8.2,37.273%, 
鉅工#1,21.8,8.2,37.701%, 
鉅工#2,21.8,8.9,40.920%, 
水里#1,12.8,2.7,21.176%, 
立霧#1&amp;#2,32.0,10.5,32.812%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,19.5,40.123%, 
碧海,61.2,0.0,0.000%,檢修
烏來&amp;桂山&amp;粗坑,40.5,16.3,40.247%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,27.0,49.451%, 
翡翠#1,70.0,70.9,101.286%, 
石門#1,45.0,25.4,56.444%, 
石門#2,45.0,30.4,67.556%, 
曾文#1,50.0,49.0,98.000%, 
義興#1,40.0,12.5,31.250%, 
名間,16.7,7.3,43.713%, 
嘉南西口、烏山頭和八田,22.5,6.9,30.713%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,0.6,30.303%, 
小計,2091.5(4.613%),874.3(2.468%),,
風力(Wind)
石門,4.0,1.8,45.455%, 
林口,6.0,3.5,58.333%, 
蘆竹,7.2,3.0,41.667%, 
