機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,966.5,98.122%, 
核二#2,985.0,969.2,98.396%, 
核三#1,951.0,933.5,98.160%, 
核三#2,951.0,935.8,98.402%, 
小計,3872.0(8.540%),3805.0(12.060%),,
燃煤(Coal)
林口#1,800.0,759.3,94.912%, 
林口#2,800.0,764.1,95.512%, 
林口#3(註10),-,761.6,95.200%,新機組試俥
台中#1,550.0,0.0,0.000%,檢修
台中#2,550.0,520.9,94.709%, 
台中#3,550.0,519.1,94.382%,運轉限制
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,377.5,68.636%,運轉限制
台中#6,550.0,260.3,47.327%,運轉限制
台中#7,550.0,405.7,73.764%,運轉限制
台中#8,550.0,414.3,75.327%,運轉限制
台中#9,550.0,511.6,93.018%,運轉限制
台中#10,550.0,487.7,88.673%,運轉限制
興達#1,500.0,477.1,95.420%, 
興達#2,500.0,482.2,96.440%, 
興達#3,550.0,520.6,94.655%, 
興達#4,550.0,514.8,93.600%, 
大林#1,800.0,759.4,94.925%, 
大林#2(註10),-,766.4,95.800%,新機組試俥
小計,10000.0(22.056%),9302.6(29.485%),,
汽電共生(Co-Gen)
汽電共生,623.2,1070.3,-, 
小計,623.2(1.374%),1070.3(3.392%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,602.9,92.961%, 
和平#2,648.6,602.8,92.946%, 
麥寮#1,600.0,567.7,94.617%, 
麥寮#2,600.0,568.0,94.667%, 
麥寮#3,600.0,570.6,95.100%, 
小計,3097.1(6.831%),2912.0(9.230%),,
燃氣(LNG)
大潭CC#1,742.7,734.7,98.923%, 
大潭CC#2,742.7,741.7,99.865%, 
大潭CC#3,724.7,671.1,92.604%, 
大潭CC#4,724.7,675.7,93.239%, 
大潭CC#5,724.7,624.6,86.187%, 
大潭CC#6,724.7,630.5,87.002%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,783.4,87.766%,電源線限制
通霄CC#2,892.6,682.9,76.507%,電源線限制
通霄CC#3(註10),-,824.4,92.359%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,102.1,26.451%,電源線限制
通霄CC#6,321.2,132.7,41.314%,部分檢修
興達CC#1,445.2,369.9,83.088%, 
興達CC#2,445.2,408.2,91.691%, 
興達CC#3,445.2,338.3,75.990%, 
興達CC#4,445.2,250.5,56.268%,部分檢修
興達CC#5,445.2,395.2,88.771%, 
南部CC#1,288.8,296.7,102.735%, 
南部CC#2,288.8,240.6,83.310%, 
南部CC#3,288.8,244.0,84.488%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,138.3,27.660%,運轉限制
大林#6,550.0,237.2,43.127%, 
小計,12256.4(27.032%),9522.7(30.183%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,448.2,99.600%, 
海湖#2,450.0,52.5,11.667%,合約限制
新桃#1,600.0,132.3,22.050%, 
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,484.2,98.816%, 
星元#1,490.0,517.0,105.510%, 
嘉惠#1,670.0,662.6,98.896%, 
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,55.7,11.367%, 
小計,4610.0(10.168%),2352.5(7.456%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,130.3,26.060%,環保限制
協和#4,500.0,129.5,25.900%,環保限制
小計,2000.0(4.411%),259.8(0.823%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,58.5,45.069%, 
金門塔山(註4),91.0,43.0,47.253%, 
馬祖珠山(註4),28.6,8.7,30.377%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),110.2(0.349%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,74.3,95.256%, 
青山#1,92.0,55.4,60.217%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,0.0,0.000%, 
青山#4,92.0,0.0,0.000%, 
谷關#1,54.4,0.0,0.000%, 
谷關#2,54.4,0.0,0.000%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,0.0,0.000%, 
天輪#1,22.5,0.0,0.000%, 
天輪#2,22.5,5.6,24.889%, 
天輪#3,22.5,0.0,0.000%, 
天輪#4,22.5,0.0,0.000%, 
天輪#5,105.0,0.0,0.000%, 
馬鞍#1,66.7,10.4,15.583%, 
馬鞍#2,66.7,0.0,0.000%, 
卓蘭#1,40.0,31.2,78.000%, 
卓蘭#2,40.0,0.0,0.000%, 
萬大#1,10.4,0.0,0.000%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,0.0,0.000%, 
萬大#4,19.7,20.1,102.030%, 
松林#1&amp;2,20.9,8.2,39.234%, 
大觀一#1,22.0,20.2,91.818%, 
大觀一#2,22.0,21.5,97.727%, 
大觀一#3,22.0,21.6,98.182%, 
大觀一#4,22.0,20.6,93.636%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,20.9,96.092%, 
鉅工#2,21.8,21.3,97.931%, 
水里#1,12.8,4.9,38.431%, 
立霧#1&amp;#2,32.0,15.9,49.687%, 
龍澗#1,48.6,12.1,24.897%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,28.4,46.405%, 
烏來&amp;桂山&amp;粗坑,40.5,20.4,50.370%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,34.0,62.271%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,0.0,0.000%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,50.1,100.200%, 
義興#1,40.0,37.1,92.750%, 
名間,16.7,14.4,86.228%, 
嘉南西口、烏山頭和八田,22.5,7.2,32.048%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.2,60.606%, 
小計,2091.5(4.613%),586.0(1.857%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
