機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核一#2,636.0,0.0,0.000%,歲修逾排程
核二#1,985.0,971.9,98.670%, 
核二#2,985.0,973.2,98.802%, 
核三#1,951.0,938.1,98.644%, 
核三#2,951.0,940.4,98.885%, 
小計,4508.0(9.831%),3823.6(12.990%),,
燃煤(Coal)
林口#1,800.0,753.5,94.188%, 
林口#2,800.0,758.8,94.850%, 
林口#3(註10),-,0.0,0.000%, 
台中#1,550.0,516.0,93.818%, 
台中#2,550.0,524.3,95.327%, 
台中#3,550.0,0.0,0.000%,測試停機
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,513.2,93.309%, 
台中#6,550.0,509.5,92.636%, 
台中#7,550.0,510.3,92.782%, 
台中#8,550.0,525.4,95.527%, 
台中#9,550.0,486.0,88.364%,運轉限制
台中#10,550.0,513.2,93.309%,運轉限制
興達#1,500.0,477.1,95.420%, 
興達#2,500.0,475.2,95.040%, 
興達#3,550.0,476.7,86.673%, 
興達#4,550.0,522.5,95.000%, 
大林#1,800.0,755.5,94.438%, 
大林#2(註10),-,763.4,95.425%,新機組試俥
小計,10000.0(21.807%),9080.6(30.849%),,
汽電共生(Co-Gen)
汽電共生,623.2,896.8,-, 
小計,623.2(1.359%),896.8(3.047%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,554.4,85.483%, 
和平#2,648.6,570.6,87.981%, 
麥寮#1,600.0,564.8,94.133%, 
麥寮#2,600.0,567.3,94.550%, 
麥寮#3,600.0,566.3,94.383%, 
小計,3097.1(6.754%),2823.4(9.592%),,
燃氣(LNG)
大潭CC#1,742.7,620.6,83.560%, 
大潭CC#2,742.7,656.6,88.407%, 
大潭CC#3,724.7,661.6,91.293%,測試運轉 
大潭CC#4,724.7,668.4,92.231%, 
大潭CC#5,724.7,578.8,79.868%, 
大潭CC#6,724.7,605.7,83.579%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,860.0,96.348%, 
通霄CC#2,892.6,410.1,45.944%,電源線限制
通霄CC#3(註10),-,714.9,80.092%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,0.0,0.000%,電源線限制
通霄CC#6,321.2,151.8,47.260%,部分檢修
興達CC#1,445.2,326.3,73.295%, 
興達CC#2,445.2,423.2,95.061%, 
興達CC#3,445.2,217.6,48.878%,部分檢修
興達CC#4,445.2,366.0,82.212%, 
興達CC#5,445.2,324.7,72.935%, 
南部CC#1,288.8,299.3,103.636%, 
南部CC#2,288.8,303.4,105.055%, 
南部CC#3,288.8,290.8,100.693%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,396.9,79.380%,運轉限制
大林#6,550.0,481.4,87.527%,運轉限制
小計,12256.4(26.728%),9358.1(31.792%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,444.5,98.778%, 
海湖#2,450.0,0.0,0.000%,合約限制
新桃#1,600.0,599.1,99.850%, 
國光#1,480.0,392.1,81.688%, 
星彰#1,490.0,454.1,92.673%, 
星元#1,490.0,0.0,0.000%,合約限制
嘉惠#1,670.0,0.0,0.000%,合約限制
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,443.7,90.551%, 
小計,4610.0(10.053%),2333.5(7.928%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,132.9,26.580%,環保限制
協和#4,500.0,128.3,25.660%,環保限制
小計,2000.0(4.361%),261.2(0.887%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,71.8,55.316%, 
金門塔山(註4),91.0,41.4,45.495%, 
馬祖珠山(註4),28.6,8.1,28.282%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.248%),121.3(0.412%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,0.0,0.000%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,13.8,15.000%, 
青山#4,92.0,12.9,14.022%, 
谷關#1,54.4,0.0,0.000%, 
谷關#2,54.4,0.0,0.000%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,43.0,78.972%, 
天輪#1,22.5,0.0,0.000%, 
天輪#2,22.5,14.4,64.000%, 
天輪#3,22.5,14.8,65.778%, 
天輪#4,22.5,14.6,64.889%, 
天輪#5,105.0,0.0,0.000%, 
馬鞍#1,66.7,16.7,25.022%, 
馬鞍#2,66.7,17.3,25.921%, 
卓蘭#1,40.0,26.3,65.750%, 
卓蘭#2,40.0,25.4,63.500%, 
萬大#1,10.4,9.1,87.923%, 
萬大#2,10.4,9.1,87.923%, 
萬大#3,15.3,0.0,0.000%, 
萬大#4,19.7,0.0,0.000%, 
松林#1&amp;2,20.9,6.3,30.144%, 
大觀一#1,22.0,4.5,20.455%, 
大觀一#2,22.0,5.4,24.545%, 
大觀一#3,22.0,5.2,23.636%, 
大觀一#4,22.0,6.4,29.091%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,8.6,39.540%, 
鉅工#2,21.8,8.3,38.161%, 
水里#1,12.8,9.8,76.863%, 
立霧#1&amp;#2,32.0,16.0,50.000%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,4.9,8.007%, 
烏來&amp;桂山&amp;粗坑,40.5,18.3,45.185%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,44.0,80.586%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,0.0,0.000%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,35.4,88.500%, 
名間,16.7,14.7,88.024%, 
嘉南西口、烏山頭和八田,22.5,4.0,17.805%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.2,60.606%, 
小計,2091.5(4.561%),438.4(1.489%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
