機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,971.9,98.670%, 
核二#2,985.0,973.2,98.802%, 
核三#1,951.0,940.4,98.885%, 
核三#2,951.0,939.2,98.759%, 
小計,3872.0(8.513%),3824.7(11.328%),,
燃煤(Coal)
林口#1,800.0,753.0,94.125%, 
林口#2,800.0,758.2,94.775%, 
林口#3(註10),-,758.9,94.863%,新機組試俥
台中#1,550.0,472.7,85.945%,運轉限制
台中#2,550.0,519.7,94.491%, 
台中#3,550.0,520.7,94.673%, 
台中#4,550.0,0.0,0.000%,歲修
台中#5,550.0,469.6,85.382%, 
台中#6,550.0,507.0,92.182%,運轉限制
台中#7,550.0,486.9,88.527%,運轉限制
台中#8,550.0,530.5,96.455%, 
台中#9,550.0,486.8,88.509%,運轉限制
台中#10,550.0,502.0,91.273%,運轉限制
興達#1,500.0,363.2,72.640%,運轉限制
興達#2,500.0,475.9,95.180%, 
興達#3,550.0,522.1,94.927%, 
興達#4,550.0,521.7,94.855%, 
大林#1,800.0,757.9,94.738%, 
大林#2(註10),-,761.0,95.125%,新機組試俥
小計,10000.0(21.986%),10167.8(30.115%),,
汽電共生(Co-Gen)
汽電共生,623.2,1445.6,-, 
小計,623.2(1.370%),1445.6(4.281%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,594.0,91.589%, 
和平#2,648.6,598.7,92.314%, 
麥寮#1,600.0,570.6,95.100%, 
麥寮#2,600.0,566.5,94.417%, 
麥寮#3,600.0,572.9,95.483%, 
小計,3097.1(6.809%),2902.7(8.597%),,
燃氣(LNG)
大潭CC#1,742.7,706.9,95.180%, 
大潭CC#2,742.7,699.5,94.183%, 
大潭CC#3,724.7,668.6,92.259%, 
大潭CC#4,724.7,674.5,93.073%, 
大潭CC#5,724.7,309.4,42.694%, 
大潭CC#6,724.7,326.4,45.039%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,0.0,0.000%,歲修
通霄CC#2,892.6,777.1,87.060%, 
通霄CC#3(註10),-,816.5,91.474%,新機組試俥
通霄CC#4,386.0,99.4,25.751%,電源線限制
通霄CC#5,386.0,266.0,68.912%,電源線限制
通霄CC#6,321.2,112.5,35.025%,部分檢修
興達CC#1,445.2,327.6,73.587%, 
興達CC#2,445.2,406.2,91.242%, 
興達CC#3,445.2,253.3,56.897%, 
興達CC#4,445.2,231.5,52.000%, 
興達CC#5,445.2,251.1,56.403%,部分檢修
南部CC#1,288.8,265.8,92.036%, 
南部CC#2,288.8,238.5,82.583%, 
南部CC#3,288.8,236.0,81.717%, 
南部CC#4,251.4,0.0,0.000%,測試運轉 
大林#5,500.0,141.6,28.320%,運轉限制
大林#6,550.0,166.3,30.236%, 
小計,12256.4(26.946%),7974.7(23.619%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,0.0,0.000%,合約限制
海湖#2,450.0,440.3,97.844%, 
新桃#1,600.0,635.4,105.900%, 
國光#1,480.0,452.6,94.292%, 
星彰#1,490.0,0.0,0.000%,合約限制
星元#1,490.0,504.8,103.020%, 
嘉惠#1,670.0,687.4,102.597%, 
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,471.7,96.265%, 
小計,4610.0(10.135%),3192.2(9.455%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,0.0,0.000%,環保限制
協和#4,500.0,128.9,25.780%,環保限制
小計,2000.0(4.397%),128.9(0.382%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,56.9,40.643%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,63.0,48.536%, 
金門塔山(註4),91.0,48.3,53.077%, 
馬祖珠山(註4),28.6,10.0,34.916%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.258%),178.2(0.528%),,
水力(Hydro)
德基#1,78.0,74.4,95.385%, 
德基#2,78.0,78.1,100.128%, 
德基#3,78.0,75.2,96.410%, 
青山#1,92.0,97.0,105.435%, 
青山#2,92.0,96.7,105.109%, 
青山#3,92.0,96.4,104.783%, 
青山#4,92.0,96.7,105.109%, 
谷關#1,54.4,52.0,95.500%, 
谷關#2,54.4,50.9,93.480%, 
谷關#3,54.4,50.2,92.195%, 
谷關#4,54.4,51.8,95.133%, 
天輪#1,22.5,21.2,94.222%, 
天輪#2,22.5,21.9,97.333%, 
天輪#3,22.5,22.2,98.667%, 
天輪#4,22.5,21.6,96.000%, 
天輪#5,105.0,103.7,98.762%, 
馬鞍#1,66.7,66.0,98.891%, 
馬鞍#2,66.7,66.0,98.891%, 
卓蘭#1,40.0,40.4,101.000%,水文限制
卓蘭#2,40.0,39.9,99.750%,水文限制
萬大#1,10.4,9.0,86.957%, 
萬大#2,10.4,9.1,87.923%, 
萬大#3,15.3,0.0,0.000%, 
萬大#4,19.7,20.1,102.030%, 
松林#1&amp;2,20.9,0.0,0.000%, 
大觀一#1,22.0,4.5,20.455%, 
大觀一#2,22.0,3.9,17.727%, 
大觀一#3,22.0,2.8,12.727%, 
大觀一#4,22.0,4.7,21.364%, 
大觀一#5,22.0,4.9,22.273%, 
鉅工#1,21.8,3.1,14.253%, 
鉅工#2,21.8,3.1,14.253%, 
水里#1,12.8,0.0,0.002%, 
立霧#1&amp;#2,32.0,15.8,49.375%, 
龍澗#1,48.6,10.8,22.222%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,48.0,78.431%, 
烏來&amp;桂山&amp;粗坑,40.5,38.0,93.827%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,44.0,80.586%, 
翡翠#1,70.0,71.2,101.714%, 
石門#1,45.0,26.4,58.667%, 
石門#2,45.0,31.2,69.333%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,38.3,95.750%, 
名間,16.7,14.4,86.228%, 
嘉南西口、烏山頭和八田,22.5,3.8,16.914%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,0.0,0.000%, 
小計,2091.5(4.598%),1661.4(4.921%),,
風力(Wind)
石門,4.0,0.4,10.101%, 
林口,6.0,0.0,0.000%, 
