機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,967.9,98.264%, 
核二#2,985.0,686.4,69.685%,測試運轉 
核三#1,951.0,935.8,98.402%, 
核三#2,951.0,940.4,98.885%, 
小計,3872.0(8.540%),3530.5(12.276%),,
燃煤(Coal)
林口#1,800.0,752.0,94.000%, 
林口#2,800.0,758.1,94.762%, 
林口#3(註10),-,761.7,95.213%,新機組試俥
台中#1,550.0,0.0,0.000%,檢修
台中#2,550.0,518.2,94.218%, 
台中#3,550.0,501.2,91.127%,運轉限制
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,515.7,93.764%, 
台中#6,550.0,511.9,93.073%, 
台中#7,550.0,508.7,92.491%,運轉限制
台中#8,550.0,534.7,97.218%, 
台中#9,550.0,497.3,90.418%,運轉限制
台中#10,550.0,502.1,91.291%,運轉限制
興達#1,500.0,481.5,96.300%, 
興達#2,500.0,474.0,94.800%, 
興達#3,550.0,516.0,93.818%, 
興達#4,550.0,522.5,95.000%, 
大林#1,800.0,759.4,94.925%, 
大林#2(註10),-,761.8,95.225%,新機組試俥
小計,10000.0(22.056%),9876.8(34.342%),,
汽電共生(Co-Gen)
汽電共生,623.2,1303.5,-, 
小計,623.2(1.374%),1303.5(4.532%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,596.4,91.959%, 
和平#2,648.6,609.6,93.994%, 
麥寮#1,600.0,563.0,93.833%, 
麥寮#2,600.0,567.5,94.583%, 
麥寮#3,600.0,571.5,95.250%, 
小計,3097.1(6.831%),2908.0(10.111%),,
燃氣(LNG)
大潭CC#1,742.7,724.6,97.563%, 
大潭CC#2,742.7,671.8,90.454%, 
大潭CC#3,724.7,670.9,92.576%, 
大潭CC#4,724.7,666.4,91.955%, 
大潭CC#5,724.7,311.3,42.956%, 
大潭CC#6,724.7,358.0,49.400%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,731.2,81.918%, 
通霄CC#2,892.6,300.9,33.711%,電源線限制
通霄CC#3(註10),-,699.8,78.400%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,0.0,0.000%,電源線限制
通霄CC#6,321.2,97.2,30.262%,部分檢修
興達CC#1,445.2,376.0,84.458%, 
興達CC#2,445.2,403.7,90.680%, 
興達CC#3,445.2,368.0,82.661%, 
興達CC#4,445.2,248.7,55.864%, 
興達CC#5,445.2,372.6,83.695%, 
南部CC#1,288.8,231.0,79.986%, 
南部CC#2,288.8,232.5,80.506%, 
南部CC#3,288.8,110.4,38.227%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,138.3,27.660%,運轉限制
大林#6,550.0,523.7,95.218%, 
小計,12256.4(27.032%),8237.0(28.641%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,134.6,29.911%, 
海湖#2,450.0,435.0,96.667%, 
新桃#1,600.0,98.1,16.350%, 
國光#1,480.0,282.8,58.917%, 
星彰#1,490.0,0.0,0.000%,合約限制
星元#1,490.0,245.0,50.000%, 
嘉惠#1,670.0,668.2,99.731%, 
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,114.9,23.449%, 
小計,4610.0(10.168%),1978.6(6.880%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,130.3,26.060%,環保限制
協和#4,500.0,127.6,25.520%,環保限制
小計,2000.0(4.411%),257.9(0.897%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,55.4,42.681%, 
金門塔山(註4),91.0,42.5,46.703%, 
馬祖珠山(註4),28.6,8.5,29.679%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),106.4(0.370%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,5.2,5.652%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,0.0,0.000%, 
青山#4,92.0,10.9,11.848%, 
谷關#1,54.4,17.7,32.507%, 
谷關#2,54.4,0.0,0.000%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,0.0,0.000%, 
天輪#1,22.5,5.1,22.777%, 
天輪#2,22.5,6.7,29.778%, 
天輪#3,22.5,6.8,30.222%, 
天輪#4,22.5,6.6,29.333%, 
天輪#5,105.0,0.0,0.000%, 
馬鞍#1,66.7,25.9,38.807%, 
馬鞍#2,66.7,0.0,0.000%, 
卓蘭#1,40.0,20.4,51.000%, 
卓蘭#2,40.0,0.0,0.000%, 
萬大#1,10.4,0.0,0.000%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,0.0,0.000%, 
萬大#4,19.7,20.3,103.046%, 
松林#1&amp;2,20.9,7.3,34.928%, 
大觀一#1,22.0,7.1,32.273%, 
大觀一#2,22.0,7.3,33.182%, 
大觀一#3,22.0,6.0,27.273%, 
大觀一#4,22.0,8.9,40.455%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,13.2,60.690%, 
鉅工#2,21.8,13.1,60.230%, 
水里#1,12.8,4.9,38.431%, 
立霧#1&amp;#2,32.0,13.5,42.188%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,2.0,4.115%, 
碧海,61.2,4.9,8.007%, 
烏來&amp;桂山&amp;粗坑,40.5,18.4,45.432%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,31.0,56.777%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,0.0,0.000%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,37.5,93.750%, 
名間,16.7,8.1,48.503%, 
嘉南西口、烏山頭和八田,22.5,7.7,34.274%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.3,65.657%, 
小計,2091.5(4.613%),342.8(1.192%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
林口,6.0,0.0,0.000%, 
