機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,875.4,88.873%, 
核二#2,985.0,703.8,71.452%,測試運轉 
核三#1,951.0,933.5,98.160%, 
核三#2,951.0,935.8,98.402%, 
小計,3872.0(8.540%),3448.5(10.735%),,
燃煤(Coal)
林口#1,800.0,760.1,95.012%, 
林口#2,800.0,764.9,95.613%, 
林口#3(註10),-,761.8,95.225%,新機組試俥
台中#1,550.0,0.0,0.000%,檢修
台中#2,550.0,521.4,94.800%, 
台中#3,550.0,507.1,92.200%,運轉限制
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,529.4,96.255%, 
台中#6,550.0,518.1,94.200%, 
台中#7,550.0,504.0,91.636%,運轉限制
台中#8,550.0,530.7,96.491%, 
台中#9,550.0,503.1,91.473%,運轉限制
台中#10,550.0,503.3,91.509%,運轉限制
興達#1,500.0,483.4,96.680%, 
興達#2,500.0,479.6,95.920%, 
興達#3,550.0,518.3,94.236%, 
興達#4,550.0,521.7,94.855%, 
大林#1,800.0,757.9,94.738%, 
大林#2(註10),-,766.4,95.800%,新機組試俥
小計,10000.0(22.056%),9931.2(30.917%),,
汽電共生(Co-Gen)
汽電共生,623.2,1183.6,-, 
小計,623.2(1.374%),1183.6(3.684%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,598.9,92.344%, 
和平#2,648.6,597.7,92.159%, 
麥寮#1,600.0,567.8,94.633%, 
麥寮#2,600.0,567.9,94.650%, 
麥寮#3,600.0,572.9,95.483%, 
小計,3097.1(6.831%),2905.2(9.044%),,
燃氣(LNG)
大潭CC#1,742.7,610.2,82.160%, 
大潭CC#2,742.7,645.2,86.872%, 
大潭CC#3,724.7,680.3,93.873%, 
大潭CC#4,724.7,677.4,93.473%, 
大潭CC#5,724.7,618.2,85.304%, 
大潭CC#6,724.7,629.9,86.919%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,729.1,81.683%, 
通霄CC#2,892.6,744.5,83.408%,電源線限制
通霄CC#3(註10),-,768.3,86.074%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,0.0,0.000%,電源線限制
通霄CC#6,321.2,152.7,47.540%,部分檢修
興達CC#1,445.2,381.9,85.784%, 
興達CC#2,445.2,405.9,91.175%, 
興達CC#3,445.2,381.5,85.694%, 
興達CC#4,445.2,367.1,82.459%, 
興達CC#5,445.2,383.8,86.210%, 
南部CC#1,288.8,231.2,80.055%, 
南部CC#2,288.8,232.4,80.471%, 
南部CC#3,288.8,233.8,80.956%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,140.9,28.180%,運轉限制
大林#6,550.0,165.5,30.091%, 
小計,12256.4(27.032%),9179.8(28.577%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,395.2,87.822%, 
海湖#2,450.0,397.7,88.378%, 
新桃#1,600.0,597.5,99.583%, 
國光#1,480.0,391.1,81.479%, 
星彰#1,490.0,498.9,101.816%, 
星元#1,490.0,458.3,93.531%, 
嘉惠#1,670.0,664.5,99.179%, 
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,464.8,94.857%, 
小計,4610.0(10.168%),3868.0(12.041%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,129.0,25.800%,環保限制
協和#4,500.0,128.3,25.660%,環保限制
小計,2000.0(4.411%),257.3(0.801%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,65.9,50.770%, 
金門塔山(註4),91.0,43.2,47.473%, 
馬祖珠山(註4),28.6,9.1,31.774%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),118.2(0.368%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,12.9,14.022%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,0.0,0.000%, 
青山#4,92.0,8.2,8.913%, 
谷關#1,54.4,13.1,24.059%, 
谷關#2,54.4,0.0,0.000%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,0.0,0.000%, 
天輪#1,22.5,5.1,22.777%, 
天輪#2,22.5,11.1,49.333%, 
天輪#3,22.5,11.4,50.667%, 
天輪#4,22.5,0.0,0.000%, 
天輪#5,105.0,0.0,0.000%, 
馬鞍#1,66.7,48.0,71.921%, 
馬鞍#2,66.7,0.0,0.000%, 
卓蘭#1,40.0,20.5,51.250%, 
卓蘭#2,40.0,30.5,76.250%, 
萬大#1,10.4,0.0,0.000%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,1.2,7.843%, 
萬大#4,19.7,20.1,102.030%, 
松林#1&amp;2,20.9,7.5,35.885%, 
大觀一#1,22.0,9.6,43.636%, 
大觀一#2,22.0,10.4,47.273%, 
大觀一#3,22.0,9.2,41.818%, 
大觀一#4,22.0,10.7,48.636%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,9.4,43.218%, 
鉅工#2,21.8,9.3,42.759%, 
水里#1,12.8,8.9,69.804%, 
立霧#1&amp;#2,32.0,14.5,45.312%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,20.1,41.358%, 
碧海,61.2,28.3,46.242%, 
烏來&amp;桂山&amp;粗坑,40.5,30.5,75.309%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,32.0,58.608%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,0.0,0.000%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,36.1,90.250%, 
名間,16.7,13.6,81.437%, 
嘉南西口、烏山頭和八田,22.5,7.2,32.048%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.3,65.657%, 
小計,2091.5(4.613%),470.7(1.465%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
林口,6.0,0.8,13.333%, 
