機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,971.9,98.670%, 
核二#2,985.0,973.2,98.802%, 
核三#1,951.0,940.4,98.885%, 
核三#2,951.0,943.8,99.243%, 
小計,3872.0(8.540%),3829.3(11.212%),,
燃煤(Coal)
林口#1,800.0,752.1,94.012%, 
林口#2,800.0,758.3,94.787%, 
林口#3(註10),-,0.0,0.000%, 
台中#1,550.0,0.0,0.000%,檢修
台中#2,550.0,524.2,95.309%, 
台中#3,550.0,516.4,93.891%,運轉限制
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,521.3,94.782%, 
台中#6,550.0,508.3,92.418%,運轉限制
台中#7,550.0,512.0,93.091%, 
台中#8,550.0,484.8,88.145%,運轉限制
台中#9,550.0,496.1,90.200%,運轉限制
台中#10,550.0,485.4,88.255%,運轉限制
興達#1,500.0,479.0,95.800%, 
興達#2,500.0,473.3,94.660%, 
興達#3,550.0,514.4,93.527%, 
興達#4,550.0,518.6,94.291%, 
大林#1,800.0,755.5,94.438%, 
大林#2(註10),-,763.4,95.425%,新機組試俥
小計,10000.0(22.056%),9063.1(26.535%),,
汽電共生(Co-Gen)
汽電共生,623.2,1235.7,-, 
小計,623.2(1.374%),1235.7(3.618%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,0.0,0.000%,故障
和平#2,648.6,603.2,93.007%, 
麥寮#1,600.0,567.5,94.583%, 
麥寮#2,600.0,569.3,94.883%, 
麥寮#3,600.0,572.0,95.333%, 
小計,3097.1(6.831%),2312.0(6.769%),,
燃氣(LNG)
大潭CC#1,742.7,487.1,65.585%,部分檢修
大潭CC#2,742.7,754.6,101.602%, 
大潭CC#3,724.7,673.6,92.949%, 
大潭CC#4,724.7,657.7,90.755%, 
大潭CC#5,724.7,677.7,93.515%, 
大潭CC#6,724.7,685.0,94.522%, 
大潭CC#7,600.0,346.4,57.733%, 
通霄CC#1,892.6,744.4,83.397%, 
通霄CC#2,892.6,350.3,39.245%,電源線限制
通霄CC#3(註10),-,780.8,87.475%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,266.5,69.041%,電源線限制
通霄CC#6,321.2,144.4,44.956%,部分檢修
興達CC#1,445.2,409.2,91.916%, 
興達CC#2,445.2,404.3,90.815%, 
興達CC#3,445.2,271.0,60.873%,部分檢修
興達CC#4,445.2,390.1,87.626%, 
興達CC#5,445.2,402.3,90.366%, 
南部CC#1,288.8,291.6,100.970%, 
南部CC#2,288.8,301.6,104.432%, 
南部CC#3,288.8,291.1,100.796%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,395.6,79.120%,運轉限制
大林#6,550.0,398.2,72.400%,運轉限制
小計,12256.4(27.032%),10123.5(29.640%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,447.2,99.378%, 
海湖#2,450.0,450.4,100.089%, 
新桃#1,600.0,599.1,99.850%, 
國光#1,480.0,461.3,96.104%, 
星彰#1,490.0,496.3,101.286%, 
星元#1,490.0,517.1,105.531%, 
嘉惠#1,670.0,684.3,102.134%, 
豐德#1,490.0,489.0,99.796%, 
豐德#2,490.0,473.8,96.694%, 
小計,4610.0(10.168%),4618.5(13.522%),,
燃油(Oil)
協和#1,500.0,151.2,30.240%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,134.8,26.960%,環保限制
協和#4,500.0,128.9,25.780%,環保限制
小計,2000.0(4.411%),414.9(1.215%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,78.2,60.247%, 
金門塔山(註4),91.0,46.9,51.538%, 
馬祖珠山(註4),28.6,9.8,34.218%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),134.9(0.395%),,
水力(Hydro)
德基#1,78.0,45.4,58.205%, 
德基#2,78.0,45.0,57.692%, 
德基#3,78.0,44.8,57.436%, 
青山#1,92.0,65.8,71.522%, 
青山#2,92.0,65.9,71.630%, 
青山#3,92.0,65.8,71.522%, 
青山#4,92.0,67.3,73.152%, 
谷關#1,54.4,47.1,86.501%, 
谷關#2,54.4,47.4,87.052%, 
谷關#3,54.4,47.5,87.236%, 
谷關#4,54.4,47.6,87.420%, 
天輪#1,22.5,21.9,97.333%, 
天輪#2,22.5,22.0,97.778%, 
天輪#3,22.5,22.5,100.000%, 
天輪#4,22.5,22.2,98.667%, 
天輪#5,105.0,104.4,99.429%, 
馬鞍#1,66.7,66.1,99.041%, 
馬鞍#2,66.7,63.7,95.445%, 
卓蘭#1,40.0,18.0,45.000%, 
卓蘭#2,40.0,25.2,63.000%, 
萬大#1,10.4,9.0,86.957%, 
萬大#2,10.4,9.0,86.957%, 
萬大#3,15.3,8.7,56.863%, 
萬大#4,19.7,20.1,102.030%, 
松林#1&amp;2,20.9,18.3,87.560%, 
大觀一#1,22.0,19.9,90.455%, 
大觀一#2,22.0,19.3,87.727%, 
大觀一#3,22.0,19.0,86.364%, 
大觀一#4,22.0,19.5,88.636%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,17.9,82.299%, 
鉅工#2,21.8,17.5,80.460%, 
水里#1,12.8,11.1,87.059%, 
立霧#1&amp;#2,32.0,14.8,46.250%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,48.8,100.412%, 
碧海,61.2,38.0,62.092%, 
烏來&amp;桂山&amp;粗坑,40.5,13.5,33.333%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,36.0,65.934%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,19.6,43.556%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,49.6,99.200%, 
義興#1,40.0,33.1,82.750%, 
名間,16.7,8.0,47.904%, 
嘉南西口、烏山頭和八田,22.5,7.6,33.829%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,0.9,45.455%, 
小計,2091.5(4.613%),1425.8(4.174%),,
風力(Wind)
石門,4.0,0.0,0.000%,通訊中斷
林口,6.0,1.2,20.000%, 
