機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,970.6,98.538%, 
核二#2,985.0,974.6,98.944%, 
核三#1,951.0,941.5,99.001%, 
核三#2,951.0,943.8,99.243%, 
小計,3872.0(8.540%),3830.5(11.597%),,
燃煤(Coal)
林口#1,800.0,751.1,93.887%, 
林口#2,800.0,373.8,46.725%,運轉限制
林口#3(註10),-,757.9,94.738%,新機組試俥
台中#1,550.0,520.5,94.636%, 
台中#2,550.0,521.0,94.727%, 
台中#3,550.0,473.7,86.127%,運轉限制
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,518.8,94.327%, 
台中#6,550.0,512.5,93.182%,運轉限制
台中#7,550.0,500.9,91.073%,運轉限制
台中#8,550.0,531.3,96.600%, 
台中#9,550.0,494.9,89.982%,運轉限制
台中#10,550.0,521.9,94.891%, 
興達#1,500.0,455.6,91.120%, 
興達#2,500.0,478.4,95.680%, 
興達#3,550.0,520.6,94.655%, 
興達#4,550.0,520.2,94.582%, 
大林#1,800.0,759.4,94.925%, 
大林#2(註10),-,766.4,95.800%,新機組試俥
小計,10000.0(22.056%),9978.9(30.212%),,
汽電共生(Co-Gen)
汽電共生,623.2,1201.2,-, 
小計,623.2(1.374%),1201.2(3.637%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,0.0,0.000%,故障
和平#2,648.6,605.8,93.408%, 
麥寮#1,600.0,568.4,94.733%, 
麥寮#2,600.0,566.3,94.383%, 
麥寮#3,600.0,572.8,95.467%, 
小計,3097.1(6.831%),2313.3(7.004%),,
燃氣(LNG)
大潭CC#1,742.7,723.0,97.348%, 
大潭CC#2,742.7,736.5,99.165%, 
大潭CC#3,724.7,644.6,88.947%, 
大潭CC#4,724.7,655.2,90.410%, 
大潭CC#5,724.7,635.2,87.650%, 
大潭CC#6,724.7,653.3,90.148%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,0.0,0.000%,歲修
通霄CC#2,892.6,628.2,70.379%,電源線限制
通霄CC#3(註10),-,866.5,97.076%,新機組試俥
通霄CC#4,386.0,96.5,25.000%,部分歲修
通霄CC#5,386.0,215.7,55.881%,電源線限制
通霄CC#6,321.2,151.0,47.011%,部分檢修
興達CC#1,445.2,328.8,73.856%, 
興達CC#2,445.2,0.0,0.000%,故障
興達CC#3,445.2,325.8,73.182%, 
興達CC#4,445.2,330.2,74.171%, 
興達CC#5,445.2,374.6,84.144%, 
南部CC#1,288.8,292.9,101.420%, 
南部CC#2,288.8,297.9,103.151%, 
南部CC#3,288.8,291.1,100.796%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,333.6,66.720%,運轉限制
大林#6,550.0,531.4,96.618%, 
小計,12256.4(27.032%),9112.0(27.588%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,447.9,99.533%, 
海湖#2,450.0,452.5,100.556%, 
新桃#1,600.0,298.4,49.733%, 
國光#1,480.0,461.2,96.083%, 
星彰#1,490.0,497.9,101.612%, 
星元#1,490.0,518.5,105.816%, 
嘉惠#1,670.0,687.5,102.612%, 
豐德#1,490.0,494.5,100.918%, 
豐德#2,490.0,92.5,18.878%, 
小計,4610.0(10.168%),3950.9(11.962%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,21.6,4.320%,運轉限制
協和#3,500.0,134.8,26.960%,環保限制
協和#4,500.0,130.8,26.160%,環保限制
小計,2000.0(4.411%),287.2(0.870%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,68.3,52.619%, 
金門塔山(註4),91.0,46.9,51.538%, 
馬祖珠山(註4),28.6,9.5,33.170%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),124.7(0.378%),,
水力(Hydro)
德基#1,78.0,26.8,34.359%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,30.4,38.974%, 
青山#1,92.0,20.1,21.848%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,20.6,22.391%, 
青山#4,92.0,20.1,21.848%, 
谷關#1,54.4,0.0,0.000%, 
谷關#2,54.4,0.0,0.000%, 
谷關#3,54.4,21.8,40.037%, 
谷關#4,54.4,21.7,39.853%, 
天輪#1,22.5,0.0,0.000%, 
天輪#2,22.5,0.0,0.000%, 
天輪#3,22.5,5.5,24.444%, 
天輪#4,22.5,0.0,0.000%, 
天輪#5,105.0,50.1,47.714%, 
馬鞍#1,66.7,53.3,79.862%, 
馬鞍#2,66.7,0.0,0.000%, 
卓蘭#1,40.0,18.4,46.000%, 
卓蘭#2,40.0,0.0,0.000%, 
萬大#1,10.4,0.0,0.000%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,13.1,85.621%, 
萬大#4,19.7,20.0,101.523%, 
松林#1&amp;2,20.9,10.6,50.718%, 
大觀一#1,22.0,14.7,66.818%, 
大觀一#2,22.0,14.2,64.545%, 
大觀一#3,22.0,14.2,64.545%, 
大觀一#4,22.0,11.1,50.455%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,9.8,45.057%, 
鉅工#2,21.8,10.5,48.276%, 
水里#1,12.8,1.8,14.118%, 
立霧#1&amp;#2,32.0,12.1,37.813%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,4.9,8.007%, 
烏來&amp;桂山&amp;粗坑,40.5,13.1,32.346%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,30.0,54.945%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,0.0,0.000%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,49.9,99.800%, 
義興#1,40.0,19.2,48.000%, 
名間,16.7,8.0,47.904%, 
嘉南西口、烏山頭和八田,22.5,6.7,29.823%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.3,65.657%, 
小計,2091.5(4.613%),577.0(1.747%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
林口,6.0,0.0,0.000%, 
