機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核一#2,636.0,0.0,0.000%,歲修逾排程
核二#1,985.0,969.2,98.396%, 
核二#2,985.0,971.9,98.670%, 
核三#1,951.0,938.1,98.644%, 
核三#2,951.0,942.6,99.117%, 
小計,4508.0(9.805%),3821.8(12.851%),,
燃煤(Coal)
林口#1,800.0,751.8,93.975%, 
林口#2,800.0,756.5,94.562%, 
林口#3(註10),-,0.0,0.000%, 
台中#1,550.0,248.6,45.200%,環保限制
台中#2,550.0,301.6,54.836%,環保限制
台中#3,550.0,486.2,88.400%,測試運轉 
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,517.6,94.109%, 
台中#6,550.0,502.8,91.418%, 
台中#7,550.0,507.1,92.200%, 
台中#8,550.0,88.3,16.055%,運轉限制
台中#9,550.0,491.9,89.436%, 
台中#10,550.0,498.0,90.545%, 
興達#1,500.0,240.3,48.060%,運轉限制
興達#2,500.0,477.8,95.560%, 
興達#3,550.0,513.7,93.400%, 
興達#4,550.0,518.6,94.291%, 
大林#1,800.0,757.9,94.738%, 
大林#2(註10),-,761.8,95.225%,新機組試俥
小計,10000.0(21.751%),8420.5(28.314%),,
汽電共生(Co-Gen)
汽電共生,623.2,532.0,-, 
小計,623.2(1.355%),532.0(1.789%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,597.7,92.159%, 
和平#2,648.6,602.7,92.930%, 
麥寮#1,600.0,566.7,94.450%, 
麥寮#2,600.0,567.8,94.633%, 
麥寮#3,600.0,569.3,94.883%, 
小計,3097.1(6.736%),2904.2(9.765%),,
燃氣(LNG)
大潭CC#1,742.7,472.8,63.660%,部分檢修
大潭CC#2,742.7,719.1,96.822%, 
大潭CC#3,724.7,316.9,43.728%,部分檢修
大潭CC#4,724.7,669.4,92.369%, 
大潭CC#5,724.7,619.7,85.511%, 
大潭CC#6,724.7,672.6,92.811%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,831.5,93.155%, 
通霄CC#2,892.6,292.9,32.814%,電源線限制
通霄CC#3(註10),-,706.4,79.140%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,102.0,26.425%,電源線限制
通霄CC#6,321.2,149.8,46.638%,部分檢修
興達CC#1,445.2,325.2,73.047%, 
興達CC#2,445.2,422.3,94.858%, 
興達CC#3,445.2,326.5,73.339%, 
興達CC#4,445.2,373.6,83.919%, 
興達CC#5,445.2,350.0,78.618%, 
南部CC#1,288.8,299.6,103.740%, 
南部CC#2,288.8,301.4,104.363%, 
南部CC#3,288.8,291.9,101.073%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,396.9,79.380%,運轉限制
大林#6,550.0,436.7,79.400%,運轉限制
小計,12256.4(26.658%),9077.2(30.522%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,0.0,0.000%,檢修
海湖#2,450.0,447.6,99.467%, 
新桃#1,600.0,600.2,100.033%, 
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,442.7,90.347%, 
星元#1,490.0,454.4,92.735%, 
嘉惠#1,670.0,663.6,99.045%, 
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,469.4,95.796%, 
小計,4610.0(10.027%),3077.9(10.349%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,134.8,26.960%,環保限制
協和#4,500.0,135.9,27.180%,環保限制
小計,2000.0(4.350%),270.7(0.910%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,72.9,56.163%, 
金門塔山(註4),91.0,45.7,50.220%, 
馬祖珠山(註4),28.6,8.7,30.377%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.244%),127.3(0.428%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,13.4,14.565%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,14.6,15.870%, 
青山#4,92.0,13.8,15.000%, 
谷關#1,54.4,34.1,62.626%, 
谷關#2,54.4,34.3,62.994%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,0.0,0.000%, 
天輪#1,22.5,16.3,72.444%, 
天輪#2,22.5,17.1,76.000%, 
天輪#3,22.5,16.3,72.444%, 
天輪#4,22.5,16.2,72.000%, 
天輪#5,105.0,0.0,0.000%,檢修
馬鞍#1,66.7,59.4,89.002%, 
馬鞍#2,66.7,0.0,0.000%, 
卓蘭#1,40.0,24.7,61.750%, 
卓蘭#2,40.0,20.3,50.750%, 
萬大#1,10.4,8.9,85.990%, 
萬大#2,10.4,9.0,86.957%, 
萬大#3,15.3,12.8,83.660%, 
萬大#4,19.7,0.0,0.000%, 
松林#1&amp;2,20.9,9.5,45.455%, 
大觀一#1,22.0,7.3,33.182%, 
大觀一#2,22.0,7.3,33.182%, 
大觀一#3,22.0,6.7,30.455%, 
大觀一#4,22.0,7.2,32.727%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,8.7,40.000%, 
鉅工#2,21.8,8.8,40.460%, 
水里#1,12.8,8.0,62.745%, 
立霧#1&amp;#2,32.0,16.0,50.000%, 
龍澗#1,48.6,17.4,35.802%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,4.9,8.007%, 
烏來&amp;桂山&amp;粗坑,40.5,22.1,54.568%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,41.0,75.092%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,44.8,99.556%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,36.7,91.750%, 
名間,16.7,14.1,84.431%, 
嘉南西口、烏山頭和八田,22.5,0.0,0.000%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.3,65.657%, 
小計,2091.5(4.549%),601.0(2.021%),,
風力(Wind)
