機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,970.6,98.538%, 
核二#2,985.0,973.2,98.802%, 
核三#1,951.0,933.5,98.160%, 
核三#2,951.0,937.0,98.528%, 
小計,3872.0(8.540%),3814.3(11.475%),,
燃煤(Coal)
林口#1,800.0,749.1,93.637%, 
林口#2,800.0,759.0,94.875%, 
林口#3(註10),-,757.3,94.662%,新機組試俥
台中#1,550.0,519.6,94.473%, 
台中#2,550.0,520.6,94.655%, 
台中#3,550.0,479.9,87.255%, 
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,515.6,93.745%, 
台中#6,550.0,513.7,93.400%,運轉限制
台中#7,550.0,499.8,90.873%,運轉限制
台中#8,550.0,531.0,96.545%, 
台中#9,550.0,473.4,86.073%,運轉限制
台中#10,550.0,514.7,93.582%, 
興達#1,500.0,484.7,96.940%, 
興達#2,500.0,477.1,95.420%, 
興達#3,550.0,515.2,93.673%, 
興達#4,550.0,520.9,94.709%, 
大林#1,800.0,755.5,94.438%, 
大林#2(註10),-,762.5,95.312%,新機組試俥
小計,10000.0(22.056%),10349.6(31.137%),,
汽電共生(Co-Gen)
汽電共生,623.2,1248.8,-, 
小計,623.2(1.374%),1248.8(3.757%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,0.0,0.000%,檢修
和平#2,648.6,602.1,92.838%, 
麥寮#1,600.0,570.5,95.083%, 
麥寮#2,600.0,568.0,94.667%, 
麥寮#3,600.0,567.5,94.583%, 
小計,3097.1(6.831%),2308.1(6.944%),,
燃氣(LNG)
大潭CC#1,742.7,582.7,78.457%, 
大潭CC#2,742.7,725.4,97.671%, 
大潭CC#3,724.7,665.9,91.886%, 
大潭CC#4,724.7,663.0,91.486%, 
大潭CC#5,724.7,653.6,90.189%, 
大潭CC#6,724.7,666.9,92.024%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,0.0,0.000%,歲修
通霄CC#2,892.6,865.9,97.009%,電源線限制
通霄CC#3(註10),-,864.2,96.818%,新機組試俥
通霄CC#4,386.0,199.9,51.788%,部分歲修
通霄CC#5,386.0,324.9,84.171%,電源線限制
通霄CC#6,321.2,150.0,46.700%,部分檢修
興達CC#1,445.2,323.4,72.643%, 
興達CC#2,445.2,0.0,0.000%,故障
興達CC#3,445.2,325.0,73.003%, 
興達CC#4,445.2,333.0,74.800%, 
興達CC#5,445.2,322.2,72.374%, 
南部CC#1,288.8,276.2,95.637%, 
南部CC#2,288.8,283.4,98.130%, 
南部CC#3,288.8,291.3,100.866%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,397.6,79.520%,運轉限制
大林#6,550.0,531.4,96.618%, 
小計,12256.4(27.032%),9445.9(28.418%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,446.5,99.222%, 
海湖#2,450.0,450.7,100.156%, 
新桃#1,600.0,602.3,100.383%, 
國光#1,480.0,451.2,94.000%, 
星彰#1,490.0,472.7,96.469%, 
星元#1,490.0,525.2,107.184%, 
嘉惠#1,670.0,663.2,98.985%, 
豐德#1,490.0,447.6,91.347%, 
豐德#2,490.0,446.1,91.041%, 
小計,4610.0(10.168%),4505.5(13.555%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,134.8,26.960%,環保限制
協和#4,500.0,128.3,25.660%,環保限制
小計,2000.0(4.411%),263.1(0.792%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,70.7,54.468%, 
金門塔山(註4),91.0,48.6,53.407%, 
馬祖珠山(註4),28.6,9.6,33.520%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),128.9(0.388%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,29.9,38.333%, 
青山#1,92.0,9.6,10.435%, 
青山#2,92.0,14.9,16.196%, 
青山#3,92.0,15.9,17.283%, 
青山#4,92.0,15.6,16.957%, 
谷關#1,54.4,38.5,70.707%, 
谷關#2,54.4,0.0,0.000%, 
谷關#3,54.4,39.0,71.625%, 
谷關#4,54.4,0.0,0.000%, 
天輪#1,22.5,0.0,0.000%, 
天輪#2,22.5,0.0,0.000%, 
天輪#3,22.5,10.0,44.444%, 
天輪#4,22.5,0.0,0.000%, 
天輪#5,105.0,78.3,74.571%, 
馬鞍#1,66.7,18.8,28.169%, 
馬鞍#2,66.7,43.7,65.478%, 
卓蘭#1,40.0,20.9,52.250%, 
卓蘭#2,40.0,21.2,53.000%, 
萬大#1,10.4,0.0,0.000%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,0.0,0.000%, 
萬大#4,19.7,20.0,101.523%, 
松林#1&amp;2,20.9,6.9,33.014%, 
大觀一#1,22.0,10.2,46.364%, 
大觀一#2,22.0,11.1,50.455%, 
大觀一#3,22.0,10.2,46.364%, 
大觀一#4,22.0,10.4,47.273%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,5.7,26.207%, 
鉅工#2,21.8,6.4,29.425%, 
水里#1,12.8,4.8,37.647%, 
立霧#1&amp;#2,32.0,12.0,37.500%, 
龍澗#1,48.6,20.5,42.181%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,9.5,15.523%, 
烏來&amp;桂山&amp;粗坑,40.5,13.4,33.086%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,28.0,51.282%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,0.0,0.000%, 
石門#2,45.0,32.2,71.556%, 
曾文#1,50.0,49.7,99.400%, 
義興#1,40.0,31.9,79.811%, 
名間,16.7,10.4,62.275%, 
嘉南西口、烏山頭和八田,22.5,7.0,31.158%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.4,70.707%, 
小計,2091.5(4.613%),684.0(2.058%),,
風力(Wind)
石門,4.0,0.8,20.202%, 
林口,6.0,0.1,1.667%, 
蘆竹,7.2,0.0,0.000%, 
