機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,970.6,98.538%, 
核二#2,985.0,945.1,95.949%,測試運轉 
核三#1,951.0,940.4,98.885%, 
核三#2,951.0,938.1,98.644%, 
小計,3872.0(8.513%),3794.2(11.630%),,
燃煤(Coal)
林口#1,800.0,752.4,94.050%, 
林口#2,800.0,758.5,94.812%, 
林口#3(註10),-,759.3,94.912%,新機組試俥
台中#1,550.0,417.5,75.909%,運轉限制
台中#2,550.0,520.5,94.636%, 
台中#3,550.0,483.7,87.945%,運轉限制
台中#4,550.0,0.0,0.000%,歲修
台中#5,550.0,512.4,93.164%, 
台中#6,550.0,506.5,92.091%,運轉限制
台中#7,550.0,479.0,87.091%,運轉限制
台中#8,550.0,530.3,96.418%, 
台中#9,550.0,483.0,87.818%,運轉限制
台中#10,550.0,510.6,92.836%, 
興達#1,500.0,478.4,95.680%, 
興達#2,500.0,480.9,96.180%, 
興達#3,550.0,514.4,93.527%, 
興達#4,550.0,514.8,93.600%, 
大林#1,800.0,759.4,94.925%, 
大林#2(註10),-,370.1,46.263%,新機組試俥
小計,10000.0(21.986%),9831.7(30.136%),,
汽電共生(Co-Gen)
汽電共生,623.2,1487.0,-, 
小計,623.2(1.370%),1487.0(4.558%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,591.1,91.142%, 
和平#2,648.6,599.1,92.375%, 
麥寮#1,600.0,567.1,94.517%, 
麥寮#2,600.0,567.7,94.617%, 
麥寮#3,600.0,572.3,95.383%, 
小計,3097.1(6.809%),2897.3(8.881%),,
燃氣(LNG)
大潭CC#1,742.7,723.3,97.388%, 
大潭CC#2,742.7,719.3,96.849%, 
大潭CC#3,724.7,683.1,94.260%, 
大潭CC#4,724.7,674.8,93.114%, 
大潭CC#5,724.7,644.9,88.989%, 
大潭CC#6,724.7,328.2,45.288%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,0.0,0.000%,歲修
通霄CC#2,892.6,750.3,84.058%, 
通霄CC#3(註10),-,845.8,94.757%,新機組試俥
通霄CC#4,386.0,216.0,55.959%,電源線限制
通霄CC#5,386.0,243.9,63.187%,電源線限制
通霄CC#6,321.2,142.3,44.303%,部分檢修
興達CC#1,445.2,325.8,73.182%, 
興達CC#2,445.2,402.7,90.456%, 
興達CC#3,445.2,325.8,73.182%, 
興達CC#4,445.2,327.6,73.587%, 
興達CC#5,445.2,258.3,58.020%, 
南部CC#1,288.8,269.1,93.179%, 
南部CC#2,288.8,244.8,84.765%, 
南部CC#3,288.8,232.0,80.332%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,140.9,28.180%,運轉限制
大林#6,550.0,165.5,30.091%, 
小計,12256.4(26.946%),8664.4(26.558%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,441.6,98.133%, 
海湖#2,450.0,0.0,0.000%,合約限制
新桃#1,600.0,601.8,100.300%, 
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,450.7,91.980%, 
星元#1,490.0,454.9,92.837%, 
嘉惠#1,670.0,685.2,102.269%, 
豐德#1,490.0,446.5,91.122%, 
豐德#2,490.0,0.0,0.000%,合約限制
小計,4610.0(10.135%),3080.7(9.443%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,136.0,27.200%,環保限制
協和#4,500.0,0.0,0.000%,環保限制
小計,2000.0(4.397%),136.0(0.417%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,60.1,46.302%, 
金門塔山(註4),91.0,45.9,50.440%, 
馬祖珠山(註4),28.6,8.6,30.028%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.258%),114.6(0.351%),,
水力(Hydro)
德基#1,78.0,59.1,75.769%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,48.8,62.564%, 
青山#1,92.0,50.2,54.565%, 
青山#2,92.0,51.0,55.435%, 
青山#3,92.0,51.2,55.652%, 
青山#4,92.0,50.2,54.565%, 
谷關#1,54.4,52.1,95.684%, 
谷關#2,54.4,50.9,93.480%, 
谷關#3,54.4,50.1,92.011%, 
谷關#4,54.4,51.8,95.133%, 
天輪#1,22.5,19.7,87.556%, 
天輪#2,22.5,23.1,102.667%, 
天輪#3,22.5,22.4,99.556%, 
天輪#4,22.5,23.6,104.889%, 
天輪#5,105.0,105.0,100.000%, 
馬鞍#1,66.7,65.0,97.393%, 
馬鞍#2,66.7,65.4,97.992%, 
卓蘭#1,40.0,40.4,101.000%, 
卓蘭#2,40.0,40.1,100.250%, 
萬大#1,10.4,9.1,87.923%, 
萬大#2,10.4,9.1,87.923%, 
萬大#3,15.3,1.1,7.190%, 
萬大#4,19.7,20.2,102.538%, 
松林#1&amp;2,20.9,0.0,0.000%, 
大觀一#1,22.0,6.3,28.636%, 
大觀一#2,22.0,7.2,32.727%, 
大觀一#3,22.0,7.6,34.545%, 
大觀一#4,22.0,8.5,38.636%, 
大觀一#5,22.0,7.8,35.455%, 
鉅工#1,21.8,12.2,56.092%, 
鉅工#2,21.8,9.3,42.759%, 
水里#1,12.8,8.1,63.529%, 
立霧#1&amp;#2,32.0,15.8,49.375%, 
龍澗#1,48.6,21.0,43.210%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,48.8,79.739%, 
烏來&amp;桂山&amp;粗坑,40.5,37.3,92.099%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,44.0,80.586%, 
翡翠#1,70.0,70.9,101.286%, 
石門#1,45.0,23.9,53.111%, 
石門#2,45.0,32.4,72.000%, 
曾文#1,50.0,49.9,99.800%, 
義興#1,40.0,38.4,96.000%, 
名間,16.7,14.6,87.425%, 
嘉南西口、烏山頭和八田,22.5,4.0,17.805%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,0.0,0.000%, 
小計,2091.5(4.598%),1459.6(4.474%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
林口,6.0,2.1,35.000%, 
