機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,971.9,98.670%, 
核二#2,985.0,974.6,98.944%, 
核三#1,951.0,933.5,98.160%, 
核三#2,951.0,938.1,98.644%, 
小計,3872.0(8.540%),3818.1(11.334%),,
燃煤(Coal)
林口#1,800.0,754.0,94.250%, 
林口#2,800.0,761.0,95.125%, 
林口#3(註10),-,746.1,93.262%,新機組試俥
台中#1,550.0,0.0,0.000%,檢修
台中#2,550.0,525.3,95.509%, 
台中#3,550.0,499.0,90.727%,運轉限制
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,518.3,94.236%, 
台中#6,550.0,518.5,94.273%,運轉限制
台中#7,550.0,501.8,91.236%,運轉限制
台中#8,550.0,486.8,88.509%,運轉限制
台中#9,550.0,496.0,90.182%,運轉限制
台中#10,550.0,500.5,91.000%,運轉限制
興達#1,500.0,473.3,94.660%, 
興達#2,500.0,475.9,95.180%, 
興達#3,550.0,511.4,92.982%, 
興達#4,550.0,520.2,94.582%, 
大林#1,800.0,757.0,94.625%, 
大林#2(註10),-,763.4,95.425%,新機組試俥
小計,10000.0(22.056%),9808.5(29.115%),,
汽電共生(Co-Gen)
汽電共生,623.2,1217.7,-, 
小計,623.2(1.374%),1217.7(3.615%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,592.8,91.404%, 
和平#2,648.6,602.8,92.946%, 
麥寮#1,600.0,565.9,94.317%, 
麥寮#2,600.0,567.6,94.600%, 
麥寮#3,600.0,571.6,95.267%, 
小計,3097.1(6.831%),2900.7(8.610%),,
燃氣(LNG)
大潭CC#1,742.7,463.3,62.381%,部分檢修
大潭CC#2,742.7,723.9,97.469%, 
大潭CC#3,724.7,665.0,91.762%, 
大潭CC#4,724.7,673.2,92.894%, 
大潭CC#5,724.7,636.1,87.774%, 
大潭CC#6,724.7,665.8,91.872%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,722.9,80.988%, 
通霄CC#2,892.6,370.0,41.452%,電源線限制
通霄CC#3(註10),-,778.5,87.217%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,266.5,69.041%,電源線限制
通霄CC#6,321.2,150.9,46.980%,部分檢修
興達CC#1,445.2,389.0,87.378%, 
興達CC#2,445.2,403.6,90.658%, 
興達CC#3,445.2,364.0,81.763%, 
興達CC#4,445.2,371.6,83.470%, 
興達CC#5,445.2,395.8,88.906%, 
南部CC#1,288.8,286.6,99.238%, 
南部CC#2,288.8,235.3,81.475%, 
南部CC#3,288.8,240.9,83.414%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,398.2,79.640%,運轉限制
大林#6,550.0,534.5,97.182%, 
小計,12256.4(27.032%),9735.6(28.899%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,446.5,99.222%, 
海湖#2,450.0,450.3,100.067%, 
新桃#1,600.0,647.7,107.950%, 
國光#1,480.0,446.0,92.917%, 
星彰#1,490.0,496.5,101.327%, 
星元#1,490.0,518.0,105.714%, 
嘉惠#1,670.0,686.8,102.507%, 
豐德#1,490.0,490.2,100.041%, 
豐德#2,490.0,478.9,97.735%, 
小計,4610.0(10.168%),4660.9(13.835%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,136.7,27.340%,環保限制
協和#4,500.0,128.9,25.780%,環保限制
小計,2000.0(4.411%),265.6(0.788%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,72.2,55.624%, 
金門塔山(註4),91.0,49.9,54.835%, 
馬祖珠山(註4),28.6,9.6,33.520%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),131.7(0.391%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,24.1,26.196%, 
青山#2,92.0,24.3,26.413%, 
青山#3,92.0,25.0,27.174%, 
青山#4,92.0,0.0,0.000%, 
谷關#1,54.4,0.0,0.000%, 
谷關#2,54.4,0.0,0.000%, 
谷關#3,54.4,31.8,58.402%, 
谷關#4,54.4,0.0,0.000%, 
天輪#1,22.5,7.7,34.222%, 
天輪#2,22.5,7.7,34.222%, 
天輪#3,22.5,7.7,34.222%, 
天輪#4,22.5,7.7,34.222%, 
天輪#5,105.0,0.0,0.000%, 
馬鞍#1,66.7,35.3,52.892%, 
馬鞍#2,66.7,0.0,0.000%, 
卓蘭#1,40.0,0.0,0.000%, 
卓蘭#2,40.0,35.2,88.000%, 
萬大#1,10.4,0.0,0.000%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,8.2,53.595%, 
萬大#4,19.7,20.1,102.030%, 
松林#1&amp;2,20.9,6.8,32.536%, 
大觀一#1,22.0,17.5,79.545%, 
大觀一#2,22.0,17.4,79.091%, 
大觀一#3,22.0,17.0,77.273%, 
大觀一#4,22.0,16.2,73.636%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,12.5,57.471%, 
鉅工#2,21.8,12.6,57.931%, 
水里#1,12.8,11.0,86.275%, 
立霧#1&amp;#2,32.0,16.0,50.000%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,20.2,41.564%, 
碧海,61.2,14.2,23.203%, 
烏來&amp;桂山&amp;粗坑,40.5,27.6,68.148%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,31.0,56.777%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,22.5,50.000%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,49.4,98.800%, 
義興#1,40.0,32.1,80.250%, 
名間,16.7,8.1,48.503%, 
嘉南西口、烏山頭和八田,22.5,0.0,0.000%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,0.0,0.000%, 
小計,2091.5(4.613%),595.9(1.769%),,
風力(Wind)
石門,4.0,0.6,15.152%, 
林口,6.0,0.1,1.667%, 
