機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,839.2,85.198%,測試運轉 
核二#2,985.0,970.6,98.538%, 
核三#1,951.0,941.5,99.001%, 
核三#2,951.0,940.4,98.885%, 
小計,3872.0(8.540%),3691.7(11.900%),,
燃煤(Coal)
林口#1,800.0,752.7,94.088%, 
林口#2,800.0,763.6,95.450%, 
林口#3(註10),-,756.7,94.588%,新機組試俥
台中#1,550.0,517.9,94.164%, 
台中#2,550.0,523.2,95.127%, 
台中#3,550.0,0.0,0.000%,檢修
台中#4,550.0,0.0,0.000%,歲修
台中#5,550.0,520.4,94.618%, 
台中#6,550.0,516.2,93.855%, 
台中#7,550.0,495.5,90.091%,運轉限制
台中#8,550.0,530.1,96.382%, 
台中#9,550.0,495.8,90.145%,運轉限制
台中#10,550.0,515.4,93.709%, 
興達#1,500.0,480.3,96.060%, 
興達#2,500.0,473.3,94.660%, 
興達#3,550.0,482.1,87.655%,運轉限制
興達#4,550.0,524.8,95.418%, 
大林#1,800.0,756.4,94.550%, 
大林#2(註10),-,764.9,95.613%,新機組試俥
小計,10000.0(22.056%),9869.3(31.814%),,
汽電共生(Co-Gen)
汽電共生,623.2,521.0,-, 
小計,623.2(1.374%),521.0(1.679%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,604.1,93.146%, 
和平#2,648.6,597.8,92.175%, 
麥寮#1,600.0,567.8,94.633%, 
麥寮#2,600.0,566.6,94.433%, 
麥寮#3,600.0,572.2,95.367%, 
小計,3097.1(6.831%),2908.5(9.376%),,
燃氣(LNG)
大潭CC#1,742.7,651.9,87.774%, 
大潭CC#2,742.7,655.3,88.232%, 
大潭CC#3,724.7,665.2,91.790%, 
大潭CC#4,724.7,663.5,91.555%, 
大潭CC#5,724.7,629.0,86.795%, 
大潭CC#6,724.7,655.7,90.479%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,0.0,0.000%,歲修
通霄CC#2,892.6,808.6,90.589%, 
通霄CC#3(註10),-,404.4,45.306%,新機組試俥
通霄CC#4,386.0,288.3,74.689%,部分檢修
通霄CC#5,386.0,0.0,0.000%,檢修
通霄CC#6,321.2,101.8,31.694%,部分檢修
興達CC#1,445.2,398.3,89.467%, 
興達CC#2,445.2,404.6,90.883%, 
興達CC#3,445.2,403.0,90.523%, 
興達CC#4,445.2,220.0,49.417%,部分檢修
興達CC#5,445.2,323.7,72.711%, 
南部CC#1,288.8,289.9,100.381%, 
南部CC#2,288.8,297.2,102.909%, 
南部CC#3,288.8,290.7,100.658%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,139.0,27.800%,運轉限制
大林#6,550.0,163.2,29.673%, 
小計,12256.4(27.032%),8453.3(27.249%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,0.0,0.000%,檢修
海湖#2,450.0,443.7,98.600%, 
新桃#1,600.0,599.1,99.850%, 
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,481.4,98.245%, 
星元#1,490.0,499.9,102.020%, 
嘉惠#1,670.0,0.0,0.000%,合約限制
豐德#1,490.0,0.0,0.000%,檢修
豐德#2,490.0,465.8,95.061%, 
小計,4610.0(10.168%),2489.9(8.026%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,131.6,26.320%,環保限制
協和#4,500.0,128.9,25.780%,環保限制
小計,2000.0(4.411%),260.5(0.840%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,61.5,47.381%, 
金門塔山(註4),91.0,49.4,54.286%, 
馬祖珠山(註4),28.6,8.9,31.075%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),119.8(0.386%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,21.1,22.935%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,20.3,22.065%, 
青山#4,92.0,20.1,21.848%, 
谷關#1,54.4,52.6,96.602%, 
谷關#2,54.4,51.5,94.582%, 
谷關#3,54.4,50.6,92.929%, 
谷關#4,54.4,52.4,96.235%, 
天輪#1,22.5,0.0,0.000%,水文限制
天輪#2,22.5,0.0,0.000%,水文限制
天輪#3,22.5,0.0,0.000%,水文限制
天輪#4,22.5,0.0,0.000%,水文限制
天輪#5,105.0,0.0,0.000%,水文限制
馬鞍#1,66.7,0.0,0.000%,水文限制
馬鞍#2,66.7,0.0,0.000%,水文限制
卓蘭#1,40.0,0.0,0.000%,水文限制
卓蘭#2,40.0,0.0,0.000%,水文限制
萬大#1,10.4,9.0,86.957%, 
萬大#2,10.4,9.1,87.923%, 
萬大#3,15.3,0.0,0.000%, 
萬大#4,19.7,20.2,102.538%, 
松林#1&amp;2,20.9,17.9,85.646%, 
大觀一#1,22.0,7.5,34.091%, 
大觀一#2,22.0,8.3,37.727%, 
大觀一#3,22.0,7.6,34.545%, 
大觀一#4,22.0,8.4,38.182%, 
大觀一#5,22.0,7.9,35.909%, 
鉅工#1,21.8,9.0,41.379%, 
鉅工#2,21.8,9.8,45.057%, 
水里#1,12.8,3.3,25.882%, 
立霧#1&amp;#2,32.0,22.9,71.562%, 
龍澗#1,48.6,30.1,61.934%, 
龍澗#2,48.6,30.1,61.934%, 
碧海,61.2,49.9,81.536%, 
烏來&amp;桂山&amp;粗坑,40.5,3.2,7.901%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,39.0,71.429%, 
翡翠#1,70.0,70.1,100.143%, 
石門#1,45.0,24.6,54.667%, 
石門#2,45.0,30.0,66.667%, 
曾文#1,50.0,49.5,99.000%, 
義興#1,40.0,0.0,0.000%,水文限制
名間,16.7,14.1,84.431%, 
嘉南西口、烏山頭和八田,22.5,6.7,29.823%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,0.0,0.000%, 
小計,2091.5(4.613%),770.8(2.485%),,
風力(Wind)
石門,4.0,1.1,27.778%, 
