機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,965.2,97.990%, 
核二#2,985.0,966.5,98.122%, 
核三#1,951.0,940.4,98.885%, 
核三#2,951.0,942.6,99.117%, 
小計,3872.0(8.540%),3814.7(13.151%),,
燃煤(Coal)
林口#1,800.0,760.0,95.000%, 
林口#2,800.0,765.8,95.725%, 
林口#3(註10),-,760.8,95.100%,新機組試俥
台中#1,550.0,0.0,0.000%,檢修
台中#2,550.0,524.3,95.327%, 
台中#3,550.0,514.3,93.509%,運轉限制
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,517.9,94.164%, 
台中#6,550.0,510.3,92.782%, 
台中#7,550.0,496.8,90.327%,運轉限制
台中#8,550.0,532.6,96.836%, 
台中#9,550.0,497.2,90.400%,運轉限制
台中#10,550.0,488.0,88.727%,運轉限制
興達#1,500.0,481.5,96.300%, 
興達#2,500.0,227.7,45.540%,運轉限制
興達#3,550.0,343.5,62.455%,運轉限制
興達#4,550.0,519.4,94.436%, 
大林#1,800.0,754.0,94.250%, 
大林#2(註10),-,763.4,95.425%,新機組試俥
小計,10000.0(22.056%),9457.5(32.604%),,
汽電共生(Co-Gen)
汽電共生,623.2,623.6,-, 
小計,623.2(1.374%),623.6(2.150%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,600.2,92.545%, 
和平#2,648.6,594.7,91.697%, 
麥寮#1,600.0,566.2,94.367%, 
麥寮#2,600.0,568.1,94.683%, 
麥寮#3,600.0,568.1,94.683%, 
小計,3097.1(6.831%),2897.3(9.988%),,
燃氣(LNG)
大潭CC#1,742.7,491.4,66.164%,部分檢修
大潭CC#2,742.7,659.6,88.811%, 
大潭CC#3,724.7,375.1,51.759%,部分檢修
大潭CC#4,724.7,662.3,91.390%, 
大潭CC#5,724.7,350.0,48.296%, 
大潭CC#6,724.7,356.3,49.165%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,702.1,78.658%, 
通霄CC#2,892.6,383.6,42.976%,電源線限制
通霄CC#3(註10),-,707.5,79.263%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,220.9,57.228%,電源線限制
通霄CC#6,321.2,111.0,34.558%,部分檢修
興達CC#1,445.2,327.3,73.519%, 
興達CC#2,445.2,402.1,90.321%, 
興達CC#3,445.2,326.9,73.429%, 
興達CC#4,445.2,367.4,82.527%, 
興達CC#5,445.2,326.2,73.272%, 
南部CC#1,288.8,240.1,83.137%, 
南部CC#2,288.8,232.9,80.644%, 
南部CC#3,288.8,234.5,81.198%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,139.6,27.920%,運轉限制
大林#6,550.0,164.0,29.818%, 
小計,12256.4(27.032%),7780.8(26.824%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,404.0,89.778%, 
海湖#2,450.0,0.0,0.000%,檢修
新桃#1,600.0,598.0,99.667%, 
國光#1,480.0,0.0,0.000%,檢修
星彰#1,490.0,451.3,92.102%, 
星元#1,490.0,0.0,0.000%,合約限制
嘉惠#1,670.0,661.6,98.746%, 
豐德#1,490.0,464.7,94.837%, 
豐德#2,490.0,0.0,0.000%,檢修
小計,4610.0(10.168%),2579.6(8.893%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,133.5,26.700%,環保限制
協和#4,500.0,128.3,25.660%,環保限制
小計,2000.0(4.411%),261.8(0.903%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,62.8,48.382%, 
金門塔山(註4),91.0,46.9,51.538%, 
馬祖珠山(註4),28.6,9.2,32.123%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),118.9(0.410%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,44.2,56.667%, 
青山#1,92.0,11.1,12.065%, 
青山#2,92.0,10.6,11.522%, 
青山#3,92.0,11.1,12.065%, 
青山#4,92.0,0.0,0.000%, 
谷關#1,54.4,0.0,0.000%, 
谷關#2,54.4,32.0,58.770%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,31.6,58.035%, 
天輪#1,22.5,5.1,22.777%, 
天輪#2,22.5,20.4,90.667%, 
天輪#3,22.5,20.3,90.222%, 
天輪#4,22.5,20.4,90.667%, 
天輪#5,105.0,0.0,0.000%, 
馬鞍#1,66.7,61.7,92.448%, 
馬鞍#2,66.7,0.0,0.000%, 
卓蘭#1,40.0,22.3,55.750%, 
卓蘭#2,40.0,22.2,55.500%, 
萬大#1,10.4,0.0,0.000%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,5.5,35.948%, 
萬大#4,19.7,20.3,103.046%, 
松林#1&amp;2,20.9,7.9,37.799%, 
大觀一#1,22.0,16.2,73.636%, 
大觀一#2,22.0,16.3,74.091%, 
大觀一#3,22.0,15.5,70.455%, 
大觀一#4,22.0,14.4,65.455%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,9.8,45.057%, 
鉅工#2,21.8,9.8,45.057%, 
水里#1,12.8,8.2,64.314%, 
立霧#1&amp;#2,32.0,14.8,46.250%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,6.0,12.346%, 
碧海,61.2,28.4,46.405%, 
烏來&amp;桂山&amp;粗坑,40.5,21.6,53.333%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,30.0,54.945%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,20.5,45.556%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,49.6,99.200%, 
義興#1,40.0,18.4,46.000%, 
名間,16.7,12.8,76.647%, 
嘉南西口、烏山頭和八田,22.5,4.9,21.811%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.2,60.606%, 
小計,2091.5(4.613%),669.1(2.307%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
林口,6.0,0.0,0.000%, 
