機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核一#2,636.0,0.0,0.000%,歲修逾排程
核二#1,985.0,970.6,98.538%, 
核二#2,985.0,971.9,98.670%, 
核三#1,951.0,935.8,98.402%, 
核三#2,951.0,942.6,99.117%, 
小計,4508.0(9.831%),3820.9(11.652%),,
燃煤(Coal)
林口#1,800.0,754.4,94.300%, 
林口#2,800.0,760.1,95.012%, 
林口#3(註10),-,0.0,0.000%, 
台中#1,550.0,521.6,94.836%, 
台中#2,550.0,515.9,93.800%, 
台中#3,550.0,0.0,0.000%,測試停機
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,518.7,94.309%, 
台中#6,550.0,520.2,94.582%,運轉限制
台中#7,550.0,512.0,93.091%, 
台中#8,550.0,527.6,95.927%, 
台中#9,550.0,510.9,92.891%,運轉限制
台中#10,550.0,519.6,94.473%,運轉限制
興達#1,500.0,478.4,95.680%, 
興達#2,500.0,477.8,95.560%, 
興達#3,550.0,512.1,93.109%, 
興達#4,550.0,519.4,94.436%, 
大林#1,800.0,757.9,94.738%, 
大林#2(註10),-,761.0,95.125%,新機組試俥
小計,10000.0(21.807%),9167.6(27.958%),,
汽電共生(Co-Gen)
汽電共生,623.2,1079.8,-, 
小計,623.2(1.359%),1079.8(3.293%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,602.9,92.961%, 
和平#2,648.6,601.1,92.684%, 
麥寮#1,600.0,566.1,94.350%, 
麥寮#2,600.0,567.0,94.500%, 
麥寮#3,600.0,571.0,95.167%, 
小計,3097.1(6.754%),2908.1(8.869%),,
燃氣(LNG)
大潭CC#1,742.7,726.8,97.859%, 
大潭CC#2,742.7,561.5,75.603%, 
大潭CC#3,724.7,669.6,92.397%, 
大潭CC#4,724.7,678.9,93.680%, 
大潭CC#5,724.7,645.3,89.044%, 
大潭CC#6,724.7,357.4,49.317%, 
大潭CC#7,600.0,290.8,48.467%, 
通霄CC#1,892.6,854.3,95.709%, 
通霄CC#2,892.6,354.9,39.760%,電源線限制
通霄CC#3(註10),-,709.9,79.532%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,13.7,3.549%,電源線限制
通霄CC#6,321.2,149.7,46.606%,部分檢修
興達CC#1,445.2,328.2,73.721%, 
興達CC#2,445.2,420.4,94.432%, 
興達CC#3,445.2,256.6,57.638%,部分檢修
興達CC#4,445.2,381.2,85.626%, 
興達CC#5,445.2,340.2,76.417%, 
南部CC#1,288.8,293.1,101.489%, 
南部CC#2,288.8,231.6,80.194%, 
南部CC#3,288.8,233.1,80.713%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,296.4,59.280%,運轉限制
大林#6,550.0,0.0,0.000%,故障
小計,12256.4(26.728%),8793.6(26.817%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,354.7,78.822%, 
海湖#2,450.0,356.4,79.200%, 
新桃#1,600.0,553.2,92.200%, 
國光#1,480.0,393.5,81.979%, 
星彰#1,490.0,403.3,82.306%, 
星元#1,490.0,403.2,82.286%, 
嘉惠#1,670.0,594.5,88.731%, 
豐德#1,490.0,396.2,80.857%, 
豐德#2,490.0,444.5,90.714%, 
小計,4610.0(10.053%),3899.5(11.892%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,137.3,27.460%,環保限制
協和#4,500.0,129.5,25.900%,環保限制
小計,2000.0(4.361%),266.8(0.814%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,71.6,55.162%, 
金門塔山(註4),91.0,44.7,49.121%, 
馬祖珠山(註4),28.6,8.4,29.330%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.248%),124.7(0.380%),,
水力(Hydro)
德基#1,78.0,59.9,76.795%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,55.1,70.641%, 
青山#1,92.0,49.4,53.696%, 
青山#2,92.0,49.0,53.261%, 
青山#3,92.0,49.9,54.239%, 
青山#4,92.0,46.7,50.761%, 
谷關#1,54.4,46.8,85.950%, 
谷關#2,54.4,46.6,85.583%, 
谷關#3,54.4,46.8,85.950%, 
谷關#4,54.4,46.3,85.032%, 
天輪#1,22.5,21.6,96.000%, 
天輪#2,22.5,21.8,96.889%, 
天輪#3,22.5,21.4,95.111%, 
天輪#4,22.5,21.9,97.333%, 
天輪#5,105.0,106.0,100.952%, 
馬鞍#1,66.7,64.8,97.093%, 
馬鞍#2,66.7,64.3,96.344%, 
卓蘭#1,40.0,18.1,45.250%, 
卓蘭#2,40.0,25.2,63.000%, 
萬大#1,10.4,8.9,85.990%, 
萬大#2,10.4,9.0,86.957%, 
萬大#3,15.3,9.2,60.131%, 
萬大#4,19.7,0.0,0.000%,檢修
松林#1&amp;2,20.9,8.8,42.105%, 
大觀一#1,22.0,20.1,91.364%, 
大觀一#2,22.0,21.1,95.909%, 
大觀一#3,22.0,21.0,95.455%, 
大觀一#4,22.0,20.4,92.727%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,9.5,43.678%, 
鉅工#2,21.8,10.3,47.356%, 
水里#1,12.8,7.7,60.392%, 
立霧#1&amp;#2,32.0,15.9,49.687%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,21.0,43.210%, 
碧海,61.2,5.3,8.660%, 
烏來&amp;桂山&amp;粗坑,40.5,14.7,36.296%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,44.0,80.586%, 
翡翠#1,70.0,71.2,101.714%, 
石門#1,45.0,42.6,94.667%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,20.9,52.250%, 
名間,16.7,14.6,87.425%, 
嘉南西口、烏山頭和八田,22.5,4.5,20.030%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.3,65.657%, 
小計,2091.5(4.561%),1291.6(3.939%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
林口,6.0,1.6,26.667%, 
