機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,559.0,56.751%, 
核二#2,985.0,974.6,98.944%, 
核三#1,951.0,942.6,99.117%, 
核三#2,951.0,944.9,99.359%, 
小計,3872.0(8.540%),3421.1(11.346%),,
燃煤(Coal)
林口#1,800.0,759.2,94.900%, 
林口#2,800.0,765.4,95.675%, 
林口#3(註10),-,754.2,94.275%,新機組試俥
台中#1,550.0,522.1,94.927%, 
台中#2,550.0,523.1,95.109%, 
台中#3,550.0,0.0,0.000%,檢修
台中#4,550.0,0.0,0.000%,歲修
台中#5,550.0,518.2,94.218%, 
台中#6,550.0,516.8,93.964%, 
台中#7,550.0,492.9,89.618%,運轉限制
台中#8,550.0,530.2,96.400%, 
台中#9,550.0,501.5,91.182%,運轉限制
台中#10,550.0,517.5,94.091%, 
興達#1,500.0,473.3,94.660%, 
興達#2,500.0,483.4,96.680%,運轉限制
興達#3,550.0,524.4,95.345%, 
興達#4,550.0,525.5,95.545%, 
大林#1,800.0,755.5,94.438%, 
大林#2(註10),-,763.4,95.425%,新機組試俥
小計,10000.0(22.056%),9926.6(32.920%),,
汽電共生(Co-Gen)
汽電共生,623.2,1284.5,-, 
小計,623.2(1.374%),1284.5(4.260%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,608.1,93.763%, 
和平#2,648.6,602.4,92.884%, 
麥寮#1,600.0,569.6,94.933%, 
麥寮#2,600.0,567.7,94.617%, 
麥寮#3,600.0,571.1,95.183%, 
小計,3097.1(6.831%),2918.9(9.680%),,
燃氣(LNG)
大潭CC#1,742.7,605.6,81.540%, 
大潭CC#2,742.7,656.9,88.448%, 
大潭CC#3,724.7,655.1,90.396%, 
大潭CC#4,724.7,660.2,91.100%, 
大潭CC#5,724.7,613.3,84.628%, 
大潭CC#6,724.7,635.3,87.664%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,0.0,0.000%,歲修
通霄CC#2,892.6,782.2,87.632%, 
通霄CC#3(註10),-,819.1,91.766%,新機組試俥
通霄CC#4,386.0,234.5,60.751%,部分檢修
通霄CC#5,386.0,384.5,99.611%, 
通霄CC#6,321.2,100.3,31.227%,部分檢修
興達CC#1,445.2,228.6,51.349%, 
興達CC#2,445.2,345.5,77.607%, 
興達CC#3,445.2,228.7,51.371%, 
興達CC#4,445.2,0.0,0.000%,部分檢修
興達CC#5,445.2,229.9,51.641%, 
南部CC#1,288.8,251.4,87.050%, 
南部CC#2,288.8,233.2,80.748%, 
南部CC#3,288.8,232.6,80.540%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,140.9,28.180%,運轉限制
大林#6,550.0,164.0,29.818%, 
小計,12256.4(27.032%),8201.8(27.200%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,0.0,0.000%,合約限制
海湖#2,450.0,446.8,99.289%, 
新桃#1,600.0,0.0,0.000%,合約限制
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,0.0,0.000%,合約限制
星元#1,490.0,504.4,102.939%, 
嘉惠#1,670.0,662.3,98.851%, 
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,474.9,96.918%, 
小計,4610.0(10.168%),2088.4(6.926%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,134.8,26.960%,環保限制
協和#4,500.0,129.5,25.900%,環保限制
小計,2000.0(4.411%),264.3(0.877%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,66.6,51.310%, 
金門塔山(註4),91.0,51.6,56.703%, 
馬祖珠山(註4),28.6,8.6,30.028%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),126.8(0.421%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,0.0,0.000%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,0.0,0.000%, 
青山#4,92.0,9.2,10.000%, 
谷關#1,54.4,41.3,75.849%, 
谷關#2,54.4,41.0,75.298%, 
谷關#3,54.4,40.3,74.013%, 
谷關#4,54.4,40.4,74.197%, 
天輪#1,22.5,21.2,94.222%, 
天輪#2,22.5,21.2,94.222%, 
天輪#3,22.5,21.3,94.667%, 
天輪#4,22.5,22.2,98.667%, 
天輪#5,105.0,87.8,83.619%, 
馬鞍#1,66.7,65.4,97.992%, 
馬鞍#2,66.7,63.8,95.595%, 
卓蘭#1,40.0,0.0,0.000%, 
卓蘭#2,40.0,0.0,0.000%, 
萬大#1,10.4,5.0,48.309%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,1.1,7.190%, 
萬大#4,19.7,0.0,0.000%, 
松林#1&amp;2,20.9,0.0,0.000%, 
大觀一#1,22.0,5.5,25.000%, 
大觀一#2,22.0,4.8,21.818%, 
大觀一#3,22.0,4.8,21.818%, 
大觀一#4,22.0,4.7,21.364%, 
大觀一#5,22.0,5.8,26.364%, 
鉅工#1,21.8,5.3,24.368%, 
鉅工#2,21.8,5.7,26.207%, 
水里#1,12.8,2.6,20.392%, 
立霧#1&amp;#2,32.0,17.3,54.062%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,10.2,20.988%, 
碧海,61.2,51.9,84.804%,檢修
烏來&amp;桂山&amp;粗坑,40.5,3.2,7.901%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,28.0,51.282%, 
翡翠#1,70.0,71.3,101.857%, 
石門#1,45.0,26.5,58.889%, 
石門#2,45.0,30.3,67.333%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,0.0,0.000%, 
名間,16.7,14.6,87.425%, 
嘉南西口、烏山頭和八田,22.5,6.7,29.823%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.3,65.657%, 
小計,2091.5(4.613%),819.7(2.718%),,
風力(Wind)
石門,4.0,1.4,35.354%, 
林口,6.0,3.8,63.333%, 
