機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,966.5,98.122%, 
核二#2,985.0,969.2,98.396%, 
核三#1,951.0,934.7,98.286%, 
核三#2,951.0,937.0,98.528%, 
小計,3872.0(8.540%),3807.4(11.099%),,
燃煤(Coal)
林口#1,800.0,756.0,94.500%, 
林口#2,800.0,763.7,95.463%, 
林口#3(註10),-,757.1,94.637%,新機組試俥
台中#1,550.0,0.0,0.000%,檢修
台中#2,550.0,510.8,92.873%, 
台中#3,550.0,434.3,78.964%,運轉限制
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,522.2,94.945%, 
台中#6,550.0,508.9,92.527%,運轉限制
台中#7,550.0,495.2,90.036%,運轉限制
台中#8,550.0,522.7,95.036%, 
台中#9,550.0,497.7,90.491%,運轉限制
台中#10,550.0,492.5,89.545%,運轉限制
興達#1,500.0,480.9,96.180%, 
興達#2,500.0,482.2,96.440%, 
興達#3,550.0,515.2,93.673%, 
興達#4,550.0,515.5,93.727%, 
大林#1,800.0,757.0,94.625%, 
大林#2(註10),-,763.4,95.425%,新機組試俥
小計,10000.0(22.056%),9775.3(28.496%),,
汽電共生(Co-Gen)
汽電共生,623.2,1315.3,-, 
小計,623.2(1.374%),1315.3(3.834%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,599.2,92.391%, 
和平#2,648.6,598.8,92.329%, 
麥寮#1,600.0,565.1,94.183%, 
麥寮#2,600.0,567.3,94.550%, 
麥寮#3,600.0,573.3,95.550%, 
小計,3097.1(6.831%),2903.7(8.465%),,
燃氣(LNG)
大潭CC#1,742.7,734.2,98.856%, 
大潭CC#2,742.7,631.5,85.028%, 
大潭CC#3,724.7,665.9,91.886%, 
大潭CC#4,724.7,674.7,93.101%, 
大潭CC#5,724.7,662.0,91.348%, 
大潭CC#6,724.7,672.1,92.742%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,681.3,76.328%,電源線限制
通霄CC#2,892.6,680.1,76.193%,電源線限制
通霄CC#3(註10),-,872.1,97.703%,新機組試俥
通霄CC#4,386.0,82.9,21.477%,歲修
通霄CC#5,386.0,100.9,26.140%,電源線限制
通霄CC#6,321.2,150.6,46.887%,部分檢修
興達CC#1,445.2,366.5,82.324%, 
興達CC#2,445.2,403.4,90.613%, 
興達CC#3,445.2,327.0,73.452%, 
興達CC#4,445.2,251.2,56.425%,部分檢修
興達CC#5,445.2,377.4,84.773%, 
南部CC#1,288.8,292.9,101.420%, 
南部CC#2,288.8,234.1,81.060%, 
南部CC#3,288.8,236.0,81.717%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,139.6,27.920%,運轉限制
大林#6,550.0,493.7,89.764%,運轉限制
小計,12256.4(27.032%),9730.1(28.364%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,446.0,99.111%, 
海湖#2,450.0,450.8,100.178%, 
新桃#1,600.0,596.4,99.400%, 
國光#1,480.0,462.8,96.417%, 
星彰#1,490.0,495.1,101.041%, 
星元#1,490.0,515.7,105.245%, 
嘉惠#1,670.0,685.6,102.328%, 
豐德#1,490.0,488.3,99.653%, 
豐德#2,490.0,478.0,97.551%, 
小計,4610.0(10.168%),4618.7(13.464%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,129.7,25.940%,環保限制
協和#4,500.0,126.3,25.260%,環保限制
小計,2000.0(4.411%),256.0(0.746%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,77.3,59.553%, 
金門塔山(註4),91.0,50.1,55.055%, 
馬祖珠山(註4),28.6,10.1,35.265%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),137.5(0.401%),,
水力(Hydro)
德基#1,78.0,40.0,51.282%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,10.1,10.978%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,9.9,10.761%, 
青山#4,92.0,0.0,0.000%, 
谷關#1,54.4,54.4,99.908%, 
谷關#2,54.4,54.5,100.092%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,0.0,0.000%, 
天輪#1,22.5,0.0,0.000%, 
天輪#2,22.5,5.4,24.000%, 
天輪#3,22.5,0.0,0.000%, 
天輪#4,22.5,0.0,0.000%, 
天輪#5,105.0,105.4,100.381%, 
馬鞍#1,66.7,59.1,88.553%, 
馬鞍#2,66.7,19.5,29.218%, 
卓蘭#1,40.0,26.2,65.500%, 
卓蘭#2,40.0,25.2,63.000%, 
萬大#1,10.4,0.0,0.000%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,12.2,79.739%, 
萬大#4,19.7,20.1,102.030%, 
松林#1&amp;2,20.9,9.9,47.368%, 
大觀一#1,22.0,20.0,90.909%, 
大觀一#2,22.0,19.7,89.545%, 
大觀一#3,22.0,19.4,88.182%, 
大觀一#4,22.0,19.6,89.091%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,18.7,85.977%, 
鉅工#2,21.8,17.9,82.299%, 
水里#1,12.8,9.5,74.510%, 
立霧#1&amp;#2,32.0,14.4,45.000%, 
龍澗#1,48.6,12.3,25.309%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,38.1,62.255%, 
烏來&amp;桂山&amp;粗坑,40.5,29.2,72.099%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,33.0,60.440%, 
翡翠#1,70.0,71.2,101.714%, 
石門#1,45.0,19.8,44.000%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,49.6,99.200%, 
義興#1,40.0,29.3,73.250%, 
名間,16.7,13.4,80.240%, 
嘉南西口、烏山頭和八田,22.5,7.2,32.048%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.2,60.606%, 
小計,2091.5(4.613%),925.4(2.698%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
林口,6.0,0.1,1.667%, 
