機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,969.2,98.396%, 
核二#2,985.0,970.6,98.538%, 
核三#1,951.0,932.4,98.044%, 
核三#2,951.0,937.0,98.528%, 
小計,3872.0(8.540%),3809.2(14.427%),,
燃煤(Coal)
林口#1,800.0,756.8,94.600%, 
林口#2,800.0,760.9,95.113%, 
林口#3(註10),-,746.9,93.363%,新機組試俥
台中#1,550.0,0.0,0.000%,檢修
台中#2,550.0,514.3,93.509%, 
台中#3,550.0,497.3,90.418%,友善降載減排
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,521.5,94.818%, 
台中#6,550.0,518.2,94.218%, 
台中#7,550.0,503.0,91.455%,友善降載減排
台中#8,550.0,0.0,0.000%,檢修
台中#9,550.0,492.6,89.564%,友善降載減排
台中#10,550.0,496.0,90.182%,友善降載減排
興達#1,500.0,472.1,94.420%,友善降載減排
興達#2,500.0,452.4,90.480%,友善降載減排
興達#3,550.0,513.7,93.400%, 
興達#4,550.0,521.7,94.855%, 
大林#1,800.0,757.9,94.738%, 
大林#2(註10),-,761.8,95.225%,新機組試俥
小計,10000.0(22.056%),9287.1(35.174%),,
汽電共生(Co-Gen)
汽電共生,623.2,587.2,-, 
小計,623.2(1.374%),587.2(2.224%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,57.4,8.851%,運轉限制
和平#2,648.6,562.3,86.701%, 
麥寮#1,600.0,563.5,93.917%, 
麥寮#2,600.0,566.1,94.350%, 
麥寮#3,600.0,570.4,95.067%, 
小計,3097.1(6.831%),2319.7(8.786%),,
燃氣(LNG)
大潭CC#1,742.7,460.9,62.057%,部分檢修
大潭CC#2,742.7,660.2,88.892%, 
大潭CC#3,724.7,656.3,90.562%, 
大潭CC#4,724.7,640.7,88.409%, 
大潭CC#5,724.7,620.1,85.566%, 
大潭CC#6,724.7,624.6,86.187%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,755.0,84.584%, 
通霄CC#2,892.6,342.2,38.337%,電源線限制
通霄CC#3(註10),-,777.1,87.060%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,212.0,54.922%,電源線限制
通霄CC#6,321.2,150.1,46.731%,部分檢修
興達CC#1,445.2,325.7,73.160%, 
興達CC#2,445.2,400.6,89.984%, 
興達CC#3,445.2,375.1,84.256%, 
興達CC#4,445.2,369.2,82.931%, 
興達CC#5,445.2,323.9,72.755%, 
南部CC#1,288.8,235.6,81.579%, 
南部CC#2,288.8,231.5,80.159%, 
南部CC#3,288.8,232.6,80.540%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,393.7,78.740%,運轉限制
大林#6,550.0,526.8,95.782%,運轉限制
小計,12256.4(27.032%),9313.9(35.275%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,445.4,98.978%, 
海湖#2,450.0,448.9,99.756%, 
新桃#1,600.0,0.0,0.000%,合約限制
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,0.0,0.000%,合約限制
星元#1,490.0,511.1,104.306%, 
嘉惠#1,670.0,0.0,0.000%,合約限制
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,0.0,0.000%,合約限制
小計,4610.0(10.168%),1405.4(5.323%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,134.1,26.820%,環保限制
協和#4,500.0,125.7,25.140%,環保限制
小計,2000.0(4.411%),259.8(0.984%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,50.8,39.137%, 
金門塔山(註4),91.0,37.5,41.209%, 
馬祖珠山(註4),28.6,6.9,24.092%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),95.2(0.361%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,47.7,61.154%, 
青山#1,92.0,9.7,10.543%, 
青山#2,92.0,10.2,11.087%, 
青山#3,92.0,13.9,15.109%, 
青山#4,92.0,13.1,14.239%, 
谷關#1,54.4,38.2,70.156%, 
谷關#2,54.4,38.4,70.523%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,0.0,0.000%, 
天輪#1,22.5,17.2,76.444%, 
天輪#2,22.5,17.2,76.444%, 
天輪#3,22.5,17.0,75.556%, 
天輪#4,22.5,17.5,77.778%, 
天輪#5,105.0,0.0,0.000%, 
馬鞍#1,66.7,26.3,39.407%, 
馬鞍#2,66.7,27.0,40.455%, 
卓蘭#1,40.0,28.8,72.000%, 
卓蘭#2,40.0,0.0,0.000%, 
萬大#1,10.4,9.0,86.957%, 
萬大#2,10.4,9.1,87.923%, 
萬大#3,15.3,6.4,41.830%, 
萬大#4,19.7,20.4,103.553%, 
松林#1&amp;2,20.9,18.0,86.124%, 
大觀一#1,22.0,8.9,40.455%, 
大觀一#2,22.0,10.5,47.727%, 
大觀一#3,22.0,9.0,40.909%, 
大觀一#4,22.0,10.2,46.364%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,12.8,58.851%, 
鉅工#2,21.8,13.7,62.989%, 
水里#1,12.8,8.9,69.804%, 
立霧#1&amp;#2,32.0,14.5,45.312%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,14.1,23.039%, 
烏來&amp;桂山&amp;粗坑,40.5,19.7,48.642%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,35.0,64.103%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,21.9,48.667%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,49.4,98.800%, 
義興#1,40.0,34.3,85.750%, 
名間,16.7,12.1,72.455%, 
嘉南西口、烏山頭和八田,22.5,2.8,12.463%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,0.0,0.000%, 
小計,2091.5(4.613%),688.9(2.609%),,
風力(Wind)
