機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核一#2,636.0,0.0,0.000%,歲修逾排程
核二#1,985.0,969.2,98.396%, 
核二#2,985.0,970.6,98.538%, 
核三#1,951.0,934.7,98.286%, 
核三#2,951.0,938.1,98.644%, 
小計,4508.0(9.805%),3812.6(12.644%),,
燃煤(Coal)
林口#1,800.0,752.3,94.037%, 
林口#2,800.0,758.0,94.750%, 
林口#3(註10),-,0.0,0.000%, 
台中#1,550.0,247.2,44.945%,環保限制
台中#2,550.0,523.4,95.164%, 
台中#3,550.0,259.5,47.182%,測試運轉 
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,522.4,94.982%, 
台中#6,550.0,510.8,92.873%, 
台中#7,550.0,513.6,93.382%, 
台中#8,550.0,0.0,0.000%,檢修
台中#9,550.0,510.0,92.727%, 
台中#10,550.0,493.7,89.764%, 
興達#1,500.0,256.8,51.360%,運轉限制
興達#2,500.0,474.0,94.800%, 
興達#3,550.0,513.7,93.400%, 
興達#4,550.0,338.5,61.545%,運轉限制
大林#1,800.0,759.4,94.925%, 
大林#2(註10),-,764.9,95.613%,新機組試俥
小計,10000.0(21.751%),8198.2(27.188%),,
汽電共生(Co-Gen)
汽電共生,623.2,493.4,-, 
小計,623.2(1.355%),493.4(1.636%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,598.6,92.298%, 
和平#2,648.6,601.4,92.730%, 
麥寮#1,600.0,566.3,94.383%, 
麥寮#2,600.0,568.8,94.800%, 
麥寮#3,600.0,569.5,94.917%, 
小計,3097.1(6.736%),2904.6(9.633%),,
燃氣(LNG)
大潭CC#1,742.7,479.0,64.494%,部分檢修
大潭CC#2,742.7,719.8,96.917%, 
大潭CC#3,724.7,316.5,43.673%,部分檢修
大潭CC#4,724.7,668.8,92.286%, 
大潭CC#5,724.7,623.6,86.049%, 
大潭CC#6,724.7,626.4,86.436%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,799.1,89.525%, 
通霄CC#2,892.6,294.9,33.038%,電源線限制
通霄CC#3(註10),-,823.3,92.236%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,101.4,26.269%,電源線限制
通霄CC#6,321.2,147.7,45.984%,部分檢修
興達CC#1,445.2,325.3,73.070%, 
興達CC#2,445.2,420.7,94.499%, 
興達CC#3,445.2,326.1,73.250%, 
興達CC#4,445.2,366.4,82.302%, 
興達CC#5,445.2,326.3,73.295%, 
南部CC#1,288.8,300.5,104.051%, 
南部CC#2,288.8,300.7,104.121%, 
南部CC#3,288.8,292.7,101.350%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,291.1,58.220%,運轉限制
大林#6,550.0,355.0,64.545%,運轉限制
小計,12256.4(26.658%),8905.3(29.533%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,0.0,0.000%,檢修
海湖#2,450.0,396.5,88.111%, 
新桃#1,600.0,600.7,100.117%, 
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,449.3,91.694%, 
星元#1,490.0,0.0,0.000%,合約限制
嘉惠#1,670.0,663.8,99.075%, 
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,485.3,99.041%, 
小計,4610.0(10.027%),2595.6(8.608%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,134.8,26.960%,環保限制
協和#4,500.0,135.3,27.060%,環保限制
小計,2000.0(4.350%),270.1(0.896%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,62.7,48.305%, 
金門塔山(註4),91.0,44.4,48.791%, 
馬祖珠山(註4),28.6,8.9,31.075%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.244%),116.0(0.385%),,
水力(Hydro)
德基#1,78.0,30.8,39.487%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,16.1,17.500%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,16.1,17.500%, 
青山#4,92.0,16.1,17.500%, 
谷關#1,54.4,34.5,63.361%, 
谷關#2,54.4,34.7,63.728%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,0.0,0.000%, 
天輪#1,22.5,22.9,101.778%, 
天輪#2,22.5,22.5,100.000%, 
天輪#3,22.5,22.9,101.778%, 
天輪#4,22.5,0.0,0.000%, 
天輪#5,105.0,0.0,0.000%,檢修
馬鞍#1,66.7,60.0,89.901%, 
馬鞍#2,66.7,0.0,0.000%, 
卓蘭#1,40.0,25.5,63.750%, 
卓蘭#2,40.0,20.3,50.750%, 
萬大#1,10.4,9.1,87.923%, 
萬大#2,10.4,9.1,87.923%, 
萬大#3,15.3,8.0,52.288%, 
萬大#4,19.7,0.0,0.000%, 
松林#1&amp;2,20.9,7.9,37.799%, 
大觀一#1,22.0,8.4,38.182%, 
大觀一#2,22.0,8.4,38.182%, 
大觀一#3,22.0,7.8,35.455%, 
大觀一#4,22.0,8.2,37.273%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,8.4,38.621%, 
鉅工#2,21.8,9.2,42.299%, 
水里#1,12.8,5.6,43.922%, 
立霧#1&amp;#2,32.0,16.0,50.000%, 
龍澗#1,48.6,17.4,35.802%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,4.8,7.843%, 
烏來&amp;桂山&amp;粗坑,40.5,21.5,53.086%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,41.0,75.092%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,45.3,100.667%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,37.2,93.000%, 
名間,16.7,14.4,86.228%, 
嘉南西口、烏山頭和八田,22.5,0.0,0.000%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.0,50.505%, 
小計,2091.5(4.549%),639.1(2.119%),,
風力(Wind)
