機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核一#2,636.0,0.0,0.000%,歲修逾排程
核二#1,985.0,973.2,98.802%, 
核二#2,985.0,975.9,99.076%, 
核三#1,951.0,934.7,98.286%, 
核三#2,951.0,939.2,98.759%, 
小計,4508.0(9.831%),3823.0(13.197%),,
燃煤(Coal)
林口#1,800.0,751.1,93.887%, 
林口#2,800.0,760.9,95.113%, 
林口#3(註10),-,0.0,0.000%, 
台中#1,550.0,521.0,94.727%, 
台中#2,550.0,0.0,0.000%,檢修
台中#3,550.0,0.0,0.000%,測試停機
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,512.4,93.164%, 
台中#6,550.0,512.8,93.236%, 
台中#7,550.0,517.5,94.091%, 
台中#8,550.0,522.1,94.927%, 
台中#9,550.0,498.4,90.618%,運轉限制
台中#10,550.0,507.1,92.200%, 
興達#1,500.0,483.4,96.680%, 
興達#2,500.0,479.0,95.800%, 
興達#3,550.0,513.7,93.400%, 
興達#4,550.0,515.5,93.727%, 
大林#1,800.0,756.4,94.550%, 
大林#2(註10),-,763.4,95.425%,新機組試俥
小計,10000.0(21.807%),8614.7(29.738%),,
汽電共生(Co-Gen)
汽電共生,623.2,612.4,-, 
小計,623.2(1.359%),612.4(2.114%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,601.4,92.730%, 
和平#2,648.6,600.3,92.560%, 
麥寮#1,600.0,567.8,94.633%, 
麥寮#2,600.0,568.8,94.800%, 
麥寮#3,600.0,571.4,95.233%, 
小計,3097.1(6.754%),2909.7(10.044%),,
燃氣(LNG)
大潭CC#1,742.7,729.1,98.169%, 
大潭CC#2,742.7,722.7,97.307%, 
大潭CC#3,724.7,318.9,44.004%,測試運轉 
大潭CC#4,724.7,667.7,92.135%, 
大潭CC#5,724.7,678.1,93.570%, 
大潭CC#6,724.7,680.4,93.887%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,816.1,91.430%, 
通霄CC#2,892.6,414.2,46.404%,電源線限制
通霄CC#3(註10),-,706.4,79.140%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,0.0,0.000%,電源線限制
通霄CC#6,321.2,134.4,41.843%,部分檢修
興達CC#1,445.2,363.4,81.628%, 
興達CC#2,445.2,424.5,95.353%, 
興達CC#3,445.2,264.5,59.413%,部分檢修
興達CC#4,445.2,364.7,81.920%, 
興達CC#5,445.2,383.2,86.076%, 
南部CC#1,288.8,150.5,52.112%,部分檢修
南部CC#2,288.8,233.5,80.852%, 
南部CC#3,288.8,234.2,81.094%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,275.5,55.100%,運轉限制
大林#6,550.0,461.3,83.873%,運轉限制
小計,12256.4(26.728%),9023.3(31.148%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,0.0,0.000%,檢修
海湖#2,450.0,448.4,99.644%, 
新桃#1,600.0,599.1,99.850%, 
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,0.0,0.000%,檢修
星元#1,490.0,0.0,0.000%,合約限制
嘉惠#1,670.0,664.0,99.104%, 
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,0.0,0.000%,合約限制
小計,4610.0(10.053%),1711.5(5.908%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,131.6,26.320%,環保限制
協和#4,500.0,127.0,25.400%,環保限制
小計,2000.0(4.361%),258.6(0.893%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,63.2,48.690%, 
金門塔山(註4),91.0,44.8,49.231%, 
馬祖珠山(註4),28.6,8.4,29.330%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.248%),116.4(0.402%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,30.7,39.359%, 
青山#1,92.0,12.1,13.152%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,0.0,0.000%, 
青山#4,92.0,8.7,9.457%, 
谷關#1,54.4,0.0,0.000%, 
谷關#2,54.4,30.6,56.198%, 
谷關#3,54.4,30.7,56.382%, 
谷關#4,54.4,30.7,56.382%, 
天輪#1,22.5,10.6,47.111%, 
天輪#2,22.5,0.0,0.000%, 
天輪#3,22.5,10.4,46.222%, 
天輪#4,22.5,10.4,46.222%, 
天輪#5,105.0,63.5,60.476%, 
馬鞍#1,66.7,24.1,36.110%, 
馬鞍#2,66.7,54.5,81.660%, 
卓蘭#1,40.0,40.4,101.000%, 
卓蘭#2,40.0,39.9,99.750%, 
萬大#1,10.4,9.0,86.957%, 
萬大#2,10.4,9.0,86.957%, 
萬大#3,15.3,0.0,0.000%, 
萬大#4,19.7,0.0,0.000%, 
松林#1&amp;2,20.9,6.0,28.708%, 
大觀一#1,22.0,9.0,40.909%, 
大觀一#2,22.0,9.4,42.727%, 
大觀一#3,22.0,7.1,32.273%, 
大觀一#4,22.0,6.9,31.364%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,8.6,39.540%, 
鉅工#2,21.8,8.6,39.540%, 
水里#1,12.8,3.6,28.235%, 
立霧#1&amp;#2,32.0,15.0,46.875%, 
龍澗#1,48.6,41.2,84.774%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,4.9,8.007%, 
烏來&amp;桂山&amp;粗坑,40.5,23.3,57.531%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,50.0,91.575%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,23.7,52.667%, 
石門#2,45.0,30.2,67.111%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,38.0,95.000%, 
名間,16.7,12.8,76.647%, 
嘉南西口、烏山頭和八田,22.5,0.0,0.000%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.4,70.707%, 
小計,2091.5(4.561%),746.0(2.575%),,
風力(Wind)
石門,4.0,1.6,40.404%, 
