機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,973.2,98.802%, 
核二#2,985.0,915.6,92.954%,測試運轉 
核三#1,951.0,940.4,98.885%, 
核三#2,951.0,939.2,98.759%, 
小計,3872.0(8.513%),3768.4(11.715%),,
燃煤(Coal)
林口#1,800.0,752.5,94.062%, 
林口#2,800.0,759.1,94.887%, 
林口#3(註10),-,759.0,94.875%,新機組試俥
台中#1,550.0,426.2,77.491%,運轉限制
台中#2,550.0,525.8,95.600%, 
台中#3,550.0,482.5,87.727%,運轉限制
台中#4,550.0,0.0,0.000%,歲修
台中#5,550.0,513.3,93.327%, 
台中#6,550.0,505.5,91.909%,運轉限制
台中#7,550.0,474.9,86.345%,運轉限制
台中#8,550.0,530.3,96.418%, 
台中#9,550.0,491.2,89.309%,運轉限制
台中#10,550.0,515.0,93.636%, 
興達#1,500.0,477.8,95.560%, 
興達#2,500.0,479.0,95.800%, 
興達#3,550.0,513.7,93.400%, 
興達#4,550.0,520.2,94.582%, 
大林#1,800.0,757.0,94.625%, 
大林#2(註10),-,620.1,77.512%,新機組試俥
小計,10000.0(21.986%),10103.1(31.409%),,
汽電共生(Co-Gen)
汽電共生,623.2,1465.3,-, 
小計,623.2(1.370%),1465.3(4.555%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,598.3,92.252%, 
和平#2,648.6,598.6,92.298%, 
麥寮#1,600.0,565.8,94.300%, 
麥寮#2,600.0,570.5,95.083%, 
麥寮#3,600.0,568.7,94.783%, 
小計,3097.1(6.809%),2901.9(9.021%),,
燃氣(LNG)
大潭CC#1,742.7,723.2,97.374%, 
大潭CC#2,742.7,715.2,96.297%, 
大潭CC#3,724.7,670.2,92.480%, 
大潭CC#4,724.7,672.9,92.852%, 
大潭CC#5,724.7,625.0,86.243%, 
大潭CC#6,724.7,320.9,44.280%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,0.0,0.000%,歲修
通霄CC#2,892.6,749.8,84.002%, 
通霄CC#3(註10),-,824.3,92.348%,新機組試俥
通霄CC#4,386.0,234.9,60.855%,電源線限制
通霄CC#5,386.0,215.1,55.725%,電源線限制
通霄CC#6,321.2,97.6,30.386%,部分檢修
興達CC#1,445.2,326.7,73.384%, 
興達CC#2,445.2,388.9,87.356%, 
興達CC#3,445.2,286.5,64.355%, 
興達CC#4,445.2,277.8,62.400%, 
興達CC#5,445.2,214.8,48.249%, 
南部CC#1,288.8,261.8,90.651%, 
南部CC#2,288.8,232.7,80.575%, 
南部CC#3,288.8,233.2,80.748%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,140.3,28.060%,運轉限制
大林#6,550.0,166.3,30.236%, 
小計,12256.4(26.946%),8378.1(26.046%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,452.7,100.600%, 
海湖#2,450.0,0.0,0.000%,合約限制
新桃#1,600.0,603.4,100.567%, 
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,505.0,103.061%, 
星元#1,490.0,12.5,2.551%, 
嘉惠#1,670.0,661.9,98.791%, 
豐德#1,490.0,505.8,103.224%, 
豐德#2,490.0,0.0,0.000%,合約限制
小計,4610.0(10.135%),2741.3(8.522%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,136.0,27.200%,環保限制
協和#4,500.0,130.2,26.040%,環保限制
小計,2000.0(4.397%),266.2(0.828%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,55.5,42.758%, 
金門塔山(註4),91.0,48.7,53.516%, 
馬祖珠山(註4),28.6,8.4,29.330%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.258%),112.6(0.350%),,
水力(Hydro)
德基#1,78.0,50.2,64.359%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,62.4,80.000%, 
青山#1,92.0,43.0,46.739%, 
青山#2,92.0,43.9,47.717%, 
青山#3,92.0,47.0,51.087%, 
青山#4,92.0,43.7,47.500%, 
谷關#1,54.4,52.4,96.235%, 
谷關#2,54.4,51.1,93.848%, 
谷關#3,54.4,50.5,92.746%, 
谷關#4,54.4,52.1,95.684%, 
天輪#1,22.5,19.8,88.000%, 
天輪#2,22.5,23.1,102.667%, 
天輪#3,22.5,22.4,99.556%, 
天輪#4,22.5,23.6,104.889%, 
天輪#5,105.0,5.7,5.429%, 
馬鞍#1,66.7,65.1,97.543%, 
馬鞍#2,66.7,65.4,97.992%, 
卓蘭#1,40.0,40.6,101.500%, 
卓蘭#2,40.0,40.2,100.500%, 
萬大#1,10.4,9.0,86.957%, 
萬大#2,10.4,9.0,86.957%, 
萬大#3,15.3,0.0,0.000%, 
萬大#4,19.7,20.2,102.538%, 
松林#1&amp;2,20.9,0.0,0.000%, 
大觀一#1,22.0,6.9,31.364%, 
大觀一#2,22.0,7.5,34.091%, 
大觀一#3,22.0,6.2,28.182%, 
大觀一#4,22.0,7.0,31.818%, 
大觀一#5,22.0,7.2,32.727%, 
鉅工#1,21.8,10.9,50.115%, 
鉅工#2,21.8,0.0,0.000%, 
水里#1,12.8,7.3,57.255%, 
立霧#1&amp;#2,32.0,15.8,49.375%, 
龍澗#1,48.6,21.0,43.210%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,45.9,75.000%, 
烏來&amp;桂山&amp;粗坑,40.5,36.2,89.383%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,44.0,80.586%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,22.9,50.889%, 
石門#2,45.0,27.7,61.556%, 
曾文#1,50.0,49.4,98.800%, 
義興#1,40.0,38.3,95.750%, 
名間,16.7,14.7,88.024%, 
嘉南西口、烏山頭和八田,22.5,4.0,17.805%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,0.0,0.000%, 
小計,2091.5(4.598%),1245.3(3.871%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
林口,6.0,0.7,11.667%, 
