機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,973.2,98.802%, 
核二#2,985.0,974.6,98.944%, 
核三#1,951.0,933.5,98.160%, 
核三#2,951.0,939.2,98.759%, 
小計,3872.0(8.540%),3820.5(14.838%),,
燃煤(Coal)
林口#1,800.0,755.3,94.412%, 
林口#2,800.0,760.6,95.075%, 
林口#3(註10),-,747.0,93.375%,新機組試俥
台中#1,550.0,0.0,0.000%,檢修
台中#2,550.0,523.6,95.200%, 
台中#3,550.0,503.6,91.564%,友善降載減排
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,525.3,95.509%, 
台中#6,550.0,517.9,94.164%, 
台中#7,550.0,500.8,91.055%,友善降載減排
台中#8,550.0,0.0,0.000%,檢修
台中#9,550.0,492.3,89.509%,友善降載減排
台中#10,550.0,497.3,90.418%,友善降載減排
興達#1,500.0,468.9,93.780%,友善降載減排
興達#2,500.0,453.1,90.620%,友善降載減排
興達#3,550.0,514.4,93.527%, 
興達#4,550.0,517.1,94.018%, 
大林#1,800.0,759.4,94.925%, 
大林#2(註10),-,764.9,95.613%,新機組試俥
小計,10000.0(22.056%),9301.5(36.125%),,
汽電共生(Co-Gen)
汽電共生,623.2,438.5,-, 
小計,623.2(1.374%),438.5(1.703%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,149.1,22.990%,運轉限制
和平#2,648.6,563.6,86.902%, 
麥寮#1,600.0,567.1,94.517%, 
麥寮#2,600.0,568.2,94.700%, 
麥寮#3,600.0,568.8,94.800%, 
小計,3097.1(6.831%),2416.8(9.386%),,
燃氣(LNG)
大潭CC#1,742.7,451.1,60.738%,部分檢修
大潭CC#2,742.7,652.3,87.828%, 
大潭CC#3,724.7,648.5,89.485%, 
大潭CC#4,724.7,633.3,87.388%, 
大潭CC#5,724.7,613.2,84.614%, 
大潭CC#6,724.7,627.9,86.643%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,710.9,79.644%, 
通霄CC#2,892.6,325.3,36.444%,電源線限制
通霄CC#3(註10),-,625.4,70.065%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,215.1,55.725%,電源線限制
通霄CC#6,321.2,98.2,30.573%,部分檢修
興達CC#1,445.2,325.7,73.160%, 
興達CC#2,445.2,401.2,90.119%, 
興達CC#3,445.2,376.4,84.548%, 
興達CC#4,445.2,366.7,82.369%, 
興達CC#5,445.2,324.6,72.913%, 
南部CC#1,288.8,249.2,86.288%, 
南部CC#2,288.8,232.1,80.367%, 
南部CC#3,288.8,233.7,80.921%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,304.8,60.960%,運轉限制
大林#6,550.0,486.8,88.509%,運轉限制
小計,12256.4(27.032%),8902.4(34.575%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,395.2,87.822%, 
海湖#2,450.0,397.0,88.222%, 
新桃#1,600.0,0.0,0.000%,合約限制
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,0.0,0.000%,合約限制
星元#1,490.0,459.3,93.735%, 
嘉惠#1,670.0,0.0,0.000%,合約限制
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,0.0,0.000%,合約限制
小計,4610.0(10.168%),1251.5(4.861%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,135.4,27.080%,環保限制
協和#4,500.0,127.6,25.520%,環保限制
小計,2000.0(4.411%),263.0(1.021%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,47.6,36.672%, 
金門塔山(註4),91.0,35.1,38.571%, 
馬祖珠山(註4),28.6,6.9,24.092%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),89.6(0.348%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,80.5,103.205%, 
青山#1,92.0,25.8,28.043%, 
青山#2,92.0,26.8,29.130%, 
青山#3,92.0,21.8,23.696%, 
青山#4,92.0,23.0,25.000%, 
谷關#1,54.4,37.4,68.687%, 
谷關#2,54.4,36.9,67.769%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,0.0,0.000%, 
天輪#1,22.5,17.3,76.889%, 
天輪#2,22.5,17.2,76.444%, 
天輪#3,22.5,17.1,76.000%, 
天輪#4,22.5,17.5,77.778%, 
天輪#5,105.0,0.0,0.000%, 
馬鞍#1,66.7,27.8,41.654%, 
馬鞍#2,66.7,27.0,40.455%, 
卓蘭#1,40.0,28.6,71.500%, 
卓蘭#2,40.0,0.0,0.000%, 
萬大#1,10.4,9.1,87.923%, 
萬大#2,10.4,9.2,88.889%, 
萬大#3,15.3,6.4,41.830%, 
萬大#4,19.7,20.2,102.538%, 
松林#1&amp;2,20.9,18.0,86.124%, 
大觀一#1,22.0,20.0,90.909%, 
大觀一#2,22.0,21.5,97.727%, 
大觀一#3,22.0,20.8,94.545%, 
大觀一#4,22.0,20.1,91.364%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,14.5,66.667%, 
鉅工#2,21.8,14.4,66.207%, 
水里#1,12.8,7.6,59.608%, 
立霧#1&amp;#2,32.0,14.4,45.000%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,14.6,23.856%, 
烏來&amp;桂山&amp;粗坑,40.5,19.7,48.642%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,35.0,64.103%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,22.1,49.111%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,49.7,99.400%, 
義興#1,40.0,32.5,81.250%, 
名間,16.7,12.2,73.054%, 
嘉南西口、烏山頭和八田,22.5,2.8,12.463%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,0.0,0.000%, 
小計,2091.5(4.613%),815.5(3.167%),,
風力(Wind)
