機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,962.5,97.716%, 
核二#2,985.0,967.9,98.264%, 
核三#1,951.0,930.1,97.802%, 
核三#2,951.0,935.8,98.402%, 
小計,3872.0(8.540%),3796.3(10.594%),,
燃煤(Coal)
林口#1,800.0,754.9,94.363%, 
林口#2,800.0,757.2,94.650%, 
林口#3(註10),-,755.6,94.450%,新機組試俥
台中#1,550.0,242.3,44.055%, 
台中#2,550.0,529.3,96.236%, 
台中#3,550.0,490.2,89.127%,運轉限制
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,515.0,93.636%, 
台中#6,550.0,509.8,92.691%, 
台中#7,550.0,503.3,91.509%,運轉限制
台中#8,550.0,532.3,96.782%, 
台中#9,550.0,496.0,90.182%,運轉限制
台中#10,550.0,522.8,95.055%, 
興達#1,500.0,475.2,95.040%, 
興達#2,500.0,472.7,94.540%, 
興達#3,550.0,520.6,94.655%, 
興達#4,550.0,518.6,94.291%, 
大林#1,800.0,755.5,94.438%, 
大林#2(註10),-,764.9,95.613%,新機組試俥
小計,10000.0(22.056%),10116.2(28.232%),,
汽電共生(Co-Gen)
汽電共生,623.2,1408.7,-, 
小計,623.2(1.374%),1408.7(3.931%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,601.7,92.776%, 
和平#2,648.6,606.6,93.532%, 
麥寮#1,600.0,568.1,94.683%, 
麥寮#2,600.0,567.4,94.567%, 
麥寮#3,600.0,571.6,95.267%, 
小計,3097.1(6.831%),2915.4(8.136%),,
燃氣(LNG)
大潭CC#1,742.7,722.7,97.307%, 
大潭CC#2,742.7,712.7,95.961%, 
大潭CC#3,724.7,665.4,91.817%, 
大潭CC#4,724.7,666.9,92.024%, 
大潭CC#5,724.7,623.8,86.077%, 
大潭CC#6,724.7,659.4,90.989%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,619.2,69.370%,電源線限制
通霄CC#2,892.6,836.7,93.737%,電源線限制
通霄CC#3(註10),-,838.5,93.939%,新機組試俥
通霄CC#4,386.0,93.9,24.326%,部分歲修
通霄CC#5,386.0,0.0,0.000%,電源線限制
通霄CC#6,321.2,123.9,38.574%,部分檢修
興達CC#1,445.2,325.9,73.205%, 
興達CC#2,445.2,401.5,90.186%, 
興達CC#3,445.2,325.0,73.003%, 
興達CC#4,445.2,357.1,80.213%, 
興達CC#5,445.2,325.0,73.003%, 
南部CC#1,288.8,290.5,100.589%, 
南部CC#2,288.8,299.8,103.809%, 
南部CC#3,288.8,291.0,100.762%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,396.9,79.380%,運轉限制
大林#6,550.0,529.9,96.345%, 
小計,12256.4(27.032%),10105.7(28.202%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,445.0,98.889%, 
海湖#2,450.0,447.3,99.400%, 
新桃#1,600.0,599.1,99.850%, 
國光#1,480.0,453.3,94.437%, 
星彰#1,490.0,493.9,100.796%, 
星元#1,490.0,512.9,104.673%, 
嘉惠#1,670.0,661.4,98.716%, 
豐德#1,490.0,479.6,97.878%, 
豐德#2,490.0,469.7,95.857%, 
小計,4610.0(10.168%),4562.2(12.732%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,132.9,26.580%,環保限制
協和#4,500.0,130.8,26.160%,環保限制
小計,2000.0(4.411%),263.7(0.736%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,38.3,95.750%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,69.9,53.852%, 
金門塔山(註4),91.0,51.7,56.813%, 
馬祖珠山(註4),28.6,9.9,34.567%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),169.8(0.474%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,28.5,36.538%, 
青山#1,92.0,15.4,16.739%, 
青山#2,92.0,15.8,17.174%, 
青山#3,92.0,16.6,18.043%, 
青山#4,92.0,15.9,17.283%, 
谷關#1,54.4,0.0,0.000%, 
谷關#2,54.4,44.6,81.910%, 
谷關#3,54.4,44.5,81.726%, 
谷關#4,54.4,44.5,81.726%, 
天輪#1,22.5,0.0,0.000%, 
天輪#2,22.5,12.4,55.111%, 
天輪#3,22.5,0.0,0.000%, 
天輪#4,22.5,12.8,56.889%, 
天輪#5,105.0,104.2,99.238%, 
馬鞍#1,66.7,64.1,96.044%, 
馬鞍#2,66.7,29.2,43.752%, 
卓蘭#1,40.0,20.8,52.000%, 
卓蘭#2,40.0,25.0,62.500%, 
萬大#1,10.4,0.0,0.000%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,13.6,88.889%, 
萬大#4,19.7,20.2,102.538%, 
松林#1&amp;2,20.9,10.2,48.804%, 
大觀一#1,22.0,12.6,57.273%, 
大觀一#2,22.0,12.9,58.636%, 
大觀一#3,22.0,11.6,52.727%, 
大觀一#4,22.0,11.3,51.364%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,10.7,49.195%, 
鉅工#2,21.8,11.7,53.793%, 
水里#1,12.8,2.9,22.745%, 
立霧#1&amp;#2,32.0,12.8,40.000%, 
龍澗#1,48.6,19.8,40.741%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,47.8,78.105%, 
烏來&amp;桂山&amp;粗坑,40.5,19.7,48.642%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,30.0,54.945%, 
翡翠#1,70.0,71.4,102.000%, 
石門#1,45.0,44.9,99.778%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,20.3,40.600%, 
義興#1,40.0,34.3,85.750%, 
名間,16.7,7.0,41.916%, 
嘉南西口、烏山頭和八田,22.5,7.1,31.603%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.1,55.556%, 
小計,2091.5(4.613%),951.2(2.655%),,
風力(Wind)
石門,4.0,0.6,15.152%, 
林口,6.0,0.0,0.000%, 
蘆竹,7.2,0.3,4.167%, 
