機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核一#2,636.0,0.0,0.000%,歲修逾排程
核二#1,985.0,971.9,98.670%, 
核二#2,985.0,973.2,98.802%, 
核三#1,951.0,938.1,98.644%, 
核三#2,951.0,941.5,99.001%, 
小計,4508.0(9.831%),3824.7(11.732%),,
燃煤(Coal)
林口#1,800.0,754.0,94.250%, 
林口#2,800.0,759.6,94.950%, 
林口#3(註10),-,0.0,0.000%, 
台中#1,550.0,516.4,93.891%, 
台中#2,550.0,511.0,92.909%, 
台中#3,550.0,0.0,0.000%,測試停機
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,517.6,94.109%, 
台中#6,550.0,513.4,93.345%,運轉限制
台中#7,550.0,512.4,93.164%, 
台中#8,550.0,529.3,96.236%, 
台中#9,550.0,506.7,92.127%,運轉限制
台中#10,550.0,516.6,93.927%,運轉限制
興達#1,500.0,477.8,95.560%, 
興達#2,500.0,480.3,96.060%, 
興達#3,550.0,509.1,92.564%,運轉限制
興達#4,550.0,514.8,93.600%, 
大林#1,800.0,755.5,94.438%, 
大林#2(註10),-,761.0,95.125%,新機組試俥
小計,10000.0(21.807%),9135.5(28.024%),,
汽電共生(Co-Gen)
汽電共生,623.2,994.6,-, 
小計,623.2(1.359%),994.6(3.051%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,604.8,93.254%, 
和平#2,648.6,602.3,92.869%, 
麥寮#1,600.0,565.8,94.300%, 
麥寮#2,600.0,568.8,94.800%, 
麥寮#3,600.0,570.8,95.133%, 
小計,3097.1(6.754%),2912.5(8.934%),,
燃氣(LNG)
大潭CC#1,742.7,458.9,61.788%,部分檢修
大潭CC#2,742.7,709.0,95.463%, 
大潭CC#3,724.7,660.5,91.141%, 
大潭CC#4,724.7,666.3,91.941%, 
大潭CC#5,724.7,628.3,86.698%, 
大潭CC#6,724.7,668.5,92.245%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,871.1,97.591%, 
通霄CC#2,892.6,356.3,39.917%,電源線限制
通霄CC#3(註10),-,703.3,78.792%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,0.0,0.000%,電源線限制
通霄CC#6,321.2,157.7,49.097%,部分檢修
興達CC#1,445.2,327.5,73.564%, 
興達CC#2,445.2,414.5,93.106%, 
興達CC#3,445.2,209.5,47.059%,部分檢修
興達CC#4,445.2,365.6,82.122%, 
興達CC#5,445.2,359.7,80.797%, 
南部CC#1,288.8,299.3,103.636%, 
南部CC#2,288.8,307.0,106.302%, 
南部CC#3,288.8,290.1,100.450%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,398.9,79.780%,運轉限制
大林#6,550.0,0.0,0.000%,故障
小計,12256.4(26.728%),8852.0(27.154%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,300.2,66.711%,合約限制
海湖#2,450.0,454.4,100.978%, 
新桃#1,600.0,576.7,96.117%, 
國光#1,480.0,233.3,48.604%, 
星彰#1,490.0,79.0,16.122%,合約限制
星元#1,490.0,525.3,107.204%, 
嘉惠#1,670.0,686.9,102.522%, 
豐德#1,490.0,492.2,100.449%, 
豐德#2,490.0,479.3,97.816%, 
小計,4610.0(10.053%),3827.3(11.740%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,132.2,26.440%,環保限制
協和#4,500.0,128.9,25.780%,環保限制
小計,2000.0(4.361%),261.1(0.801%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,62.3,47.997%, 
金門塔山(註4),91.0,42.8,47.033%, 
馬祖珠山(註4),28.6,8.3,28.980%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.248%),113.4(0.348%),,
水力(Hydro)
德基#1,78.0,75.5,96.795%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,72.9,93.462%, 
青山#1,92.0,39.7,43.152%, 
青山#2,92.0,37.8,41.087%, 
青山#3,92.0,38.2,41.522%, 
青山#4,92.0,38.5,41.848%, 
谷關#1,54.4,41.6,76.400%, 
谷關#2,54.4,42.2,77.502%, 
谷關#3,54.4,41.5,76.217%, 
谷關#4,54.4,41.6,76.400%, 
天輪#1,22.5,4.1,18.222%, 
天輪#2,22.5,9.3,41.333%, 
天輪#3,22.5,12.6,56.000%, 
天輪#4,22.5,8.9,39.556%, 
天輪#5,105.0,101.0,96.190%, 
馬鞍#1,66.7,34.8,52.143%, 
馬鞍#2,66.7,64.3,96.344%, 
卓蘭#1,40.0,18.4,46.000%, 
卓蘭#2,40.0,25.2,63.000%, 
萬大#1,10.4,9.0,86.957%, 
萬大#2,10.4,9.0,86.957%, 
萬大#3,15.3,5.0,32.680%, 
萬大#4,19.7,0.0,0.000%,檢修
松林#1&amp;2,20.9,7.0,33.493%, 
大觀一#1,22.0,17.9,81.364%, 
大觀一#2,22.0,18.0,81.818%, 
大觀一#3,22.0,17.9,81.364%, 
大觀一#4,22.0,16.4,74.545%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,12.0,55.172%, 
鉅工#2,21.8,12.9,59.310%, 
水里#1,12.8,6.2,48.627%, 
立霧#1&amp;#2,32.0,16.0,50.000%, 
龍澗#1,48.6,0.0,0.000%, 
龍澗#2,48.6,22.4,46.091%, 
碧海,61.2,14.1,23.039%, 
烏來&amp;桂山&amp;粗坑,40.5,12.9,31.852%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,44.0,80.586%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,0.0,0.000%, 
石門#2,45.0,0.0,0.000%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,36.6,91.500%, 
名間,16.7,14.2,85.030%, 
嘉南西口、烏山頭和八田,22.5,4.7,20.921%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.2,60.606%, 
小計,2091.5(4.561%),1073.5(3.293%),,
風力(Wind)
石門,4.0,0.0,0.000%, 
