機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核一#2,636.0,0.0,0.000%,歲修逾排程
核二#1,985.0,973.2,98.802%, 
核二#2,985.0,974.6,98.944%, 
核三#1,951.0,937.0,98.528%, 
核三#2,951.0,940.4,98.885%, 
小計,4508.0(9.831%),3825.2(16.234%),,
燃煤(Coal)
林口#1,800.0,753.3,94.162%, 
林口#2,800.0,761.9,95.238%, 
林口#3(註10),-,0.0,0.000%, 
台中#1,550.0,521.8,94.873%, 
台中#2,550.0,0.0,0.000%,檢修
台中#3,550.0,0.0,0.000%,測試停機
台中#4,550.0,0.0,0.000%,檢修
台中#5,550.0,526.0,95.636%, 
台中#6,550.0,510.3,92.782%, 
台中#7,550.0,516.3,93.873%, 
台中#8,550.0,522.5,95.000%, 
台中#9,550.0,497.1,90.382%,運轉限制
台中#10,550.0,500.2,90.945%, 
興達#1,500.0,477.1,95.420%, 
興達#2,500.0,479.6,95.920%, 
興達#3,550.0,510.6,92.836%, 
興達#4,550.0,516.3,93.873%, 
大林#1,800.0,760.1,95.012%, 
大林#2(註10),-,767.9,95.988%,新機組試俥
小計,10000.0(21.807%),8621.0(36.588%),,
汽電共生(Co-Gen)
汽電共生,623.2,618.1,-, 
小計,623.2(1.359%),618.1(2.623%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,552.9,85.252%, 
和平#2,648.6,558.5,86.115%, 
麥寮#1,600.0,562.0,93.667%, 
麥寮#2,600.0,568.8,94.800%, 
麥寮#3,600.0,528.4,88.067%, 
小計,3097.1(6.754%),2770.6(11.759%),,
燃氣(LNG)
大潭CC#1,742.7,710.9,95.718%, 
大潭CC#2,742.7,571.8,76.989%, 
大潭CC#3,724.7,659.3,90.976%,測試運轉 
大潭CC#4,724.7,667.4,92.093%, 
大潭CC#5,724.7,393.0,54.229%, 
大潭CC#6,724.7,369.6,51.000%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,858.9,96.225%, 
通霄CC#2,892.6,0.0,0.000%,檢修
通霄CC#3(註10),-,703.2,78.781%,新機組試俥
通霄CC#4,386.0,0.0,0.000%,歲修
通霄CC#5,386.0,101.0,26.166%,電源線限制
通霄CC#6,321.2,145.4,45.268%,部分檢修
興達CC#1,445.2,326.1,73.250%, 
興達CC#2,445.2,423.9,95.218%, 
興達CC#3,445.2,251.1,56.403%,部分檢修
興達CC#4,445.2,369.3,82.953%, 
興達CC#5,445.2,349.2,78.438%, 
南部CC#1,288.8,120.1,41.586%,運轉限制
南部CC#2,288.8,235.3,81.475%, 
南部CC#3,288.8,237.5,82.237%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,140.3,28.060%,運轉限制
大林#6,550.0,164.7,29.945%,運轉限制
小計,12256.4(26.728%),7798.0(33.095%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,0.0,0.000%,檢修
海湖#2,450.0,0.0,0.000%,合約限制
新桃#1,600.0,0.0,0.000%,檢修
國光#1,480.0,0.0,0.000%,合約限制
星彰#1,490.0,0.0,0.000%,合約限制
星元#1,490.0,0.0,0.000%,合約限制
嘉惠#1,670.0,0.0,0.000%,檢修
豐德#1,490.0,0.0,0.000%,合約限制
豐德#2,490.0,0.0,0.000%,檢修
小計,4610.0(10.053%),0.0(0.000%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,0.0,0.000%,環保限制
協和#3,500.0,132.2,26.440%,環保限制
協和#4,500.0,128.3,25.660%,環保限制
小計,2000.0(4.361%),260.5(1.106%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,0.0,0.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,55.4,42.681%, 
金門塔山(註4),91.0,32.8,36.044%, 
馬祖珠山(註4),28.6,7.1,24.791%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.248%),95.3(0.404%),,
水力(Hydro)
德基#1,78.0,0.0,0.000%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,16.9,18.370%, 
青山#2,92.0,0.0,0.000%, 
青山#3,92.0,0.0,0.000%, 
青山#4,92.0,17.6,19.130%, 
谷關#1,54.4,0.0,0.000%, 
谷關#2,54.4,0.0,0.000%, 
谷關#3,54.4,24.1,44.261%, 
谷關#4,54.4,23.9,43.893%, 
天輪#1,22.5,11.4,50.667%, 
天輪#2,22.5,0.0,0.000%, 
天輪#3,22.5,10.8,48.000%, 
天輪#4,22.5,10.4,46.222%, 
天輪#5,105.0,12.6,12.000%, 
馬鞍#1,66.7,14.1,21.127%, 
馬鞍#2,66.7,29.4,44.052%, 
卓蘭#1,40.0,25.7,64.250%, 
卓蘭#2,40.0,34.9,87.250%, 
萬大#1,10.4,5.0,48.309%, 
萬大#2,10.4,0.0,0.000%, 
萬大#3,15.3,0.0,0.000%, 
萬大#4,19.7,0.0,0.000%, 
松林#1&amp;2,20.9,2.9,13.876%, 
大觀一#1,22.0,5.9,26.818%, 
大觀一#2,22.0,8.1,36.818%, 
大觀一#3,22.0,8.0,36.364%, 
大觀一#4,22.0,8.6,39.091%, 
大觀一#5,22.0,0.0,0.000%,檢修
鉅工#1,21.8,11.9,54.713%, 
鉅工#2,21.8,12.6,57.931%, 
水里#1,12.8,2.5,19.608%, 
立霧#1&amp;#2,32.0,15.0,46.875%, 
龍澗#1,48.6,23.4,48.148%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,4.9,8.007%, 
烏來&amp;桂山&amp;粗坑,40.5,21.4,52.840%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,50.0,91.575%, 
翡翠#1,70.0,0.0,0.000%, 
石門#1,45.0,0.0,0.000%, 
石門#2,45.0,45.2,100.444%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,37.7,94.250%, 
名間,16.7,12.9,77.246%, 
嘉南西口、烏山頭和八田,22.5,0.0,0.000%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,1.4,70.707%, 
小計,2091.5(4.561%),540.2(2.293%),,
風力(Wind)
