機組名稱,裝置容量,淨發電量,淨發電量/裝置容量比(%),備註

核能(Nuclear)
核二#1,985.0,965.2,97.990%, 
核二#2,985.0,969.2,98.396%, 
核三#1,951.0,943.8,99.243%, 
核三#2,951.0,943.8,99.243%, 
小計,3872.0(8.540%),3822.0(10.589%),,
燃煤(Coal)
林口#1,800.0,751.7,93.963%, 
林口#2,800.0,760.6,95.075%, 
林口#3(註10),-,755.7,94.463%,新機組試俥
台中#1,550.0,517.1,94.018%, 
台中#2,550.0,525.1,95.473%, 
台中#3,550.0,498.0,90.545%,運轉限制
台中#4,550.0,0.0,0.000%,歲修
台中#5,550.0,520.4,94.618%, 
台中#6,550.0,511.7,93.036%, 
台中#7,550.0,496.7,90.309%,運轉限制
台中#8,550.0,531.0,96.545%, 
台中#9,550.0,494.9,89.982%,運轉限制
台中#10,550.0,519.4,94.436%, 
興達#1,500.0,475.9,95.180%, 
興達#2,500.0,458.8,91.760%, 
興達#3,550.0,512.1,93.109%, 
興達#4,550.0,517.8,94.145%, 
大林#1,800.0,754.6,94.325%, 
大林#2(註10),-,761.0,95.125%,新機組試俥
小計,10000.0(22.056%),10362.5(28.709%),,
汽電共生(Co-Gen)
汽電共生,623.2,1403.9,-, 
小計,623.2(1.374%),1403.9(3.889%),,
民營電廠-燃煤(IPP-Coal)
和平#1,648.6,603.3,93.023%, 
和平#2,648.6,602.1,92.838%, 
麥寮#1,600.0,568.0,94.667%, 
麥寮#2,600.0,568.2,94.700%, 
麥寮#3,600.0,573.0,95.500%, 
小計,3097.1(6.831%),2914.6(8.075%),,
燃氣(LNG)
大潭CC#1,742.7,723.3,97.388%, 
大潭CC#2,742.7,729.3,98.196%, 
大潭CC#3,724.7,657.6,90.741%, 
大潭CC#4,724.7,668.9,92.300%, 
大潭CC#5,724.7,665.5,91.831%, 
大潭CC#6,724.7,667.4,92.093%, 
大潭CC#7,600.0,0.0,0.000%, 
通霄CC#1,892.6,0.0,0.000%,歲修
通霄CC#2,892.6,851.8,95.429%, 
通霄CC#3(註10),-,403.7,45.227%,新機組試俥
通霄CC#4,386.0,207.3,53.705%,部分檢修
通霄CC#5,386.0,384.9,99.715%, 
通霄CC#6,321.2,97.0,30.199%,部分檢修
興達CC#1,445.2,326.0,73.227%, 
興達CC#2,445.2,403.3,90.591%, 
興達CC#3,445.2,325.6,73.137%, 
興達CC#4,445.2,327.5,73.564%, 
興達CC#5,445.2,324.2,72.823%, 
南部CC#1,288.8,282.0,97.645%, 
南部CC#2,288.8,231.9,80.298%, 
南部CC#3,288.8,232.6,80.540%, 
南部CC#4,251.4,0.0,0.000%,歲修
大林#5,500.0,396.9,79.380%,運轉限制
大林#6,550.0,532.2,96.764%, 
小計,12256.4(27.032%),9438.9(26.150%),,
民營電廠-燃氣(IPP-LNG)
海湖#1,450.0,446.1,99.133%, 
海湖#2,450.0,450.1,100.022%, 
新桃#1,600.0,574.0,95.667%, 
國光#1,480.0,444.3,92.562%, 
星彰#1,490.0,486.3,99.245%, 
星元#1,490.0,500.9,102.224%, 
嘉惠#1,670.0,662.6,98.896%, 
豐德#1,490.0,472.6,96.449%, 
豐德#2,490.0,464.2,94.735%, 
小計,4610.0(10.168%),4501.1(12.470%),,
燃油(Oil)
協和#1,500.0,0.0,0.000%,環保限制
協和#2,500.0,162.6,32.520%,環保限制
協和#3,500.0,137.3,27.460%,環保限制
協和#4,500.0,130.2,26.040%,環保限制
小計,2000.0(4.411%),430.1(1.192%),,
輕油(Diesel)
核一Gas1,-,0.0,0.000%, 
核一Gas2,-,0.0,0.000%, 
核二Gas1,-,0.0,0.000%, 
核二Gas2,-,0.0,0.000%, 
核三Gas1,-,6.4,16.000%, 
核三Gas2,-,0.0,0.000%, 
台中Gas1&amp;2,140.0,0.0,0.000%, 
台中Gas3&amp;4,140.0,0.0,0.000%, 
澎湖尖山(註4),129.8,70.2,54.083%, 
金門塔山(註4),91.0,49.5,54.396%, 
馬祖珠山(註4),28.6,9.8,34.218%, 
離島其他(註4),42.7,N/A,N/A, 
小計(註5),572.1(1.262%),135.9(0.377%),,
水力(Hydro)
德基#1,78.0,30.0,38.462%, 
德基#2,78.0,0.0,0.000%, 
德基#3,78.0,0.0,0.000%, 
青山#1,92.0,13.9,15.109%, 
青山#2,92.0,14.9,16.196%, 
青山#3,92.0,14.6,15.870%, 
青山#4,92.0,14.3,15.543%, 
谷關#1,54.4,48.7,89.440%, 
谷關#2,54.4,49.0,89.991%, 
谷關#3,54.4,0.0,0.000%, 
谷關#4,54.4,48.8,89.624%, 
天輪#1,22.5,18.9,84.000%, 
天輪#2,22.5,19.0,84.444%, 
天輪#3,22.5,18.4,81.778%, 
天輪#4,22.5,0.0,0.000%, 
天輪#5,105.0,85.0,80.952%, 
馬鞍#1,66.7,48.5,72.670%, 
馬鞍#2,66.7,49.2,73.719%, 
卓蘭#1,40.0,20.2,50.500%, 
卓蘭#2,40.0,22.6,56.500%, 
萬大#1,10.4,9.0,86.957%, 
萬大#2,10.4,9.0,86.957%, 
萬大#3,15.3,10.8,70.588%, 
萬大#4,19.7,0.0,0.000%, 
松林#1&amp;2,20.9,9.4,44.976%, 
大觀一#1,22.0,6.5,29.545%, 
大觀一#2,22.0,6.5,29.545%, 
大觀一#3,22.0,6.0,27.273%, 
大觀一#4,22.0,5.5,25.000%, 
大觀一#5,22.0,6.3,28.636%, 
鉅工#1,21.8,6.4,29.425%, 
鉅工#2,21.8,7.2,33.103%, 
水里#1,12.8,2.9,22.745%, 
立霧#1&amp;#2,32.0,10.9,34.062%, 
龍澗#1,48.6,11.4,23.457%, 
龍澗#2,48.6,0.0,0.000%, 
碧海,61.2,0.0,0.000%,檢修
烏來&amp;桂山&amp;粗坑,40.5,17.9,44.198%, 
北部小水力(註6),26.6,N/A,N/A, 
中部小水力(註6),9.8,N/A,N/A, 
南部小水力(註6),7.2,N/A,N/A, 
東部小水力(註6),54.6,27.0,49.451%, 
翡翠#1,70.0,71.4,102.000%, 
石門#1,45.0,25.3,56.222%, 
石門#2,45.0,29.5,65.556%, 
曾文#1,50.0,0.0,0.000%, 
義興#1,40.0,18.0,45.000%, 
名間,16.7,7.3,43.713%, 
嘉南西口、烏山頭和八田,22.5,7.2,32.048%, 
后里示範,0.1,N/A,N/A, 
卑南,2.0,0.0,0.000%, 
小計,2091.5(4.613%),853.4(2.364%),,
風力(Wind)
石門,4.0,0.4,10.101%, 
林口,6.0,4.0,66.667%,通訊中斷
蘆竹,7.2,6.4,88.889%, 
